dedupe	devocalize	split 1	split 2	split 3	split4	IsWord
סאבטקא	סאבטקא	סאבטקא				
סאביא	סאביא	סאביא				
סאָביבע 	סאָביבע 	סאָביבע				
סאביל	סאביל	סאביל				
סאבילוב	סאבילוב	סאבילוב				
סאביליאנא	סאביליאנא	סאביליאנא				
סאבילין	סאבילין	סאבילין				
סאבין	סאבין	סאבין				
סאָבין 	סאָבין 	סאָבין				
סאַבינאָװ	סאַבינאָװ	סאַבינאָװ				
סאביר	סאביר	סאביר				
סאבלטש	סאבלטש	סאבלטש				
סאבנע	סאבנע	סאבנע				
סאַבנע	סאַבנע	סאַבנע				
סאבסלא	סאבסלא	סאבסלא				
סאָבעליװקע 	סאָבעליװקע 	סאָבעליװקע				
סאָבעלעװ 	סאָבעלעװ 	סאָבעלעװ				
סאבעסלויא	סאבעסלויא	סאבעסלויא				
סאבראניץ	סאבראניץ	סאבראניץ				
סאבראנץ	סאבראנץ	סאבראנץ				
סאָבראַנץ	סאָבראַנץ	סאָבראַנץ				
סאבראנצע	סאבראנצע	סאבראנצע				
סאדא	סאדא	סאדא				
סאָדאָ	סאָדאָ	סאָדאָ				
סאדאגורא	סאדאגורא	סאדאגורא				
סאדאגערא	סאדאגערא	סאדאגערא				
סאָדאָװנע	סאָדאָװנע	סאָדאָװנע				
סאדוגערא	סאדוגערא	סאדוגערא				
סאדווי	סאדווי	סאדווי				
סאדוי	סאדוי	סאדוי				
סאדיגארי	סאדיגארי	סאדיגארי				
סאדיגורא	סאדיגורא	סאדיגורא				
סאדיגורע	סאדיגורע	סאדיגורע				
סאַדיגורע	סאַדיגורע	סאַדיגורע				
סאדיגערא	סאדיגערא	סאדיגערא				
סאדיגערי	סאדיגערי	סאדיגערי				
סאדיגערע	סאדיגערע	סאדיגערע				
סאדעגערע	סאדעגערע	סאדעגערע				
סאַדעגערע 	סאַדעגערע 	סאַדעגערע				
סאדעווע	סאדעווע	סאדעווע				
סאַדעװ 	סאַדעװ 	סאַדעװ				
סאַדעװנע 	סאַדעװנע 	סאַדעװנע				
סאדעלע	סאדעלע	סאדעלע				
סאָדעלע	סאָדעלע	סאָדעלע				
סאדעק	סאדעק	סאדעק				
סאַדעק	סאַדעק	סאַדעק				
סאדרױ	סאדרױ	סאדרױ				
סאַהײַדאַק 	סאַהײַדאַק 	סאַהײַדאַק				
סאהל	סאהל	סאהל				
סאהקאהליקע	סאהקאהליקע	סאהקאהליקע				
סאוואה	סאוואה	סאוואה				
סאוואלע	סאוואלע	סאוואלע				
סאוואנאה	סאוואנאה	סאוואנאה				
סאוואריש	סאוואריש	סאוואריש				
סאוויל	סאוויל	סאוויל				
סאווין	סאווין	סאווין				
סאוון	סאוון	סאוון				
סאווע	סאווע	סאווע				
סאווערן	סאווערן	סאווערן				
סאווראן	סאווראן	סאווראן				
סאוט נארוואלק	סאוט נארוואלק	סאוט	נארוואלק			
סאוטפארט	סאוטפארט	סאוטפארט				
סאוטפּאָרט	סאוטפּאָרט	סאוטפּאָרט				
סאוין	סאוין	סאוין				
סאולוביצ'ה	סאולוביצ'ה	סאולוביצ'ה				
סאָװאַט	סאָװאַט	סאָװאַט				
סאַװאָלע	סאַװאָלע	סאַװאָלע				
סאװארט	סאװארט	סאװארט				
סאָװאַריש	סאָװאַריש	סאָװאַריש				
סאַװין 	סאַװין 	סאַװין				
סאַװינע 	סאַװינע 	סאַװינע				
סאָװיעװאָלע 	סאָװיעװאָלע 	סאָװיעװאָלע				
סאָװיראָװ	סאָװיראָװ	סאָװיראָװ				
סאָװלע	סאָװלע	סאָװלע				
סאָװע	סאָװע	סאָװע				
סאװעט	סאװעט	סאװעט				
סאַװראַן 	סאַװראַן 	סאַװראַן				
סאַזשעװקע	סאַזשעװקע	סאַזשעװקע				
סאחיטשין	סאחיטשין	סאחיטשין				
סאַטאַל	סאַטאַל	סאַטאַל				
סאטאנאוו	סאטאנאוו	סאטאנאוו				
סאַטאַנאָװ	סאַטאַנאָװ	סאַטאַנאָװ				
סאטהמאר	סאטהמאר	סאטהמאר				
סאטו מארע	סאטו מארע	סאטו	מארע			
סאטמאהר	סאטמאהר	סאטמאהר				
סאטמאר	סאטמאר	סאטמאר				
סאַטמאַר	סאַטמאַר	סאַטמאַר				
סאַטמאַראודװאָרי	סאַטמאַראודװאָרי	סאַטמאַראודװאָרי				
סאטמארהעדי	סאטמארהעדי	סאטמארהעדי				
סאַטמאַרהעדי	סאַטמאַרהעדי	סאַטמאַרהעדי				
סאטמארעקעריטא	סאטמארעקעריטא	סאטמארעקעריטא				
סאַטמאַרעקעריטאָ	סאַטמאַרעקעריטאָ	סאַטמאַרעקעריטאָ				
סאטמור	סאטמור	סאטמור				
סאטמער	סאטמער	סאטמער				
סאַטמער 	סאַטמער 	סאַטמער				
סאטמר	סאטמר	סאטמר				
סאטנאב	סאטנאב	סאטנאב				
סאטנוב	סאטנוב	סאטנוב				
סאטניב	סאטניב	סאטניב				
סאטעלעק	סאטעלעק	סאטעלעק				
סאַטען	סאַטען	סאַטען				
סאטענעוו	סאטענעוו	סאטענעוו				
סאָטענעװ 	סאָטענעװ 	סאָטענעװ				
סאטשארעף	סאטשארעף	סאטשארעף				
סאטשורעוו	סאטשורעוו	סאטשורעוו				
סאַטשורעװ	סאַטשורעװ	סאַטשורעװ				
סאָטשעװע 	סאָטשעװע 	סאָטשעװע				
סאטשעל	סאטשעל	סאטשעל				
סאטשעריד	סאטשעריד	סאטשעריד				
סאיא סט. פעטאר	סאיא סט. פעטאר	סאיא	סט.	פעטאר		
סאָיאָסענטאָנדראָש	סאָיאָסענטאָנדראָש	סאָיאָסענטאָנדראָש				
סאָיאָסענטפּעטער	סאָיאָסענטפּעטער	סאָיאָסענטפּעטער				
סאָיאָעטשעג	סאָיאָעטשעג	סאָיאָעטשעג				
סאָיאָפּישפּעק	סאָיאָפּישפּעק	סאָיאָפּישפּעק				
סאָיאָקאָזאָ	סאָיאָקאָזאָ	סאָיאָקאָזאָ				
סאָיאָקאָזינץ	סאָיאָקאָזינץ	סאָיאָקאָזינץ				
סאָיאָקאַפּאָלנאָ	סאָיאָקאַפּאָלנאָ	סאָיאָקאַפּאָלנאָ				
סאָיאָקערעסטור	סאָיאָקערעסטור	סאָיאָקערעסטור				
סאָיאָשאָמאָש	סאָיאָשאָמאָש	סאָיאָשאָמאָש				
סאיע	סאיע	סאיע				
סאכאדאל	סאכאדאל	סאכאדאל				
סאכאדאָליק	סאכאדאָליק	סאכאדאָליק				
סאָכאָװ	סאָכאָװ	סאָכאָװ				
סאכאזבערי	סאכאזבערי	סאכאזבערי				
סאכאטשאב	סאכאטשאב	סאכאטשאב				
סאכאטשאוו	סאכאטשאוו	סאכאטשאוו				
סא כאטשיב	סא כאטשיב	סא	כאטשיב			
סאכאטשין	סאכאטשין	סאכאטשין				
סאָכאָטשין	סאָכאָטשין	סאָכאָטשין				
סאָכאָטשינעץ	סאָכאָטשינעץ	סאָכאָטשינעץ				
סאכאטשעוו	סאכאטשעוו	סאכאטשעוו				
סאָכאַטשעװ	סאָכאַטשעװ	סאָכאַטשעװ				
סאכטשאב	סאכטשאב	סאכטשאב				
סאכטשוב	סאכטשוב	סאכטשוב				
סאָכטשעװ	סאָכטשעװ	סאָכטשעװ				
סאכע טשאב	סאכע טשאב	סאכע	טשאב			
סאכעטשוב	סאכעטשוב	סאכעטשוב				
סאָכעטשין 	סאָכעטשין 	סאָכעטשין				
סאָכעטשעװ	סאָכעטשעװ	סאָכעטשעװ				
סאכעפּאטיק	סאכעפּאטיק	סאכעפּאטיק				
סאכראנץ	סאכראנץ	סאכראנץ				
סאל	סאל	סאל				
סאָל	סאָל	סאָל				
סאָל 	סאָל 	סאָל				
סאָלאָגובאָװקע 	סאָלאָגובאָװקע 	סאָלאָגובאָװקע				
סאלאד	סאלאד	סאלאד				
סאלאוואסטרע	סאלאוואסטרע	סאלאוואסטרע				
סאָלאָװאַסטרע	סאָלאָװאַסטרע	סאָלאָװאַסטרע				
סאלאט	סאלאט	סאלאט				
סאַלאַט	סאַלאַט	סאַלאַט				
סאַלאַט	סאַלאַט	סאַלאַט				
סאַלאַט 	סאַלאַט 	סאַלאַט				
סאלאטווינא	סאלאטווינא	סאלאטווינא				
סאלאטווינע	סאלאטווינע	סאלאטווינע				
סאָלאָטװינע	סאָלאָטװינע	סאָלאָטװינע				
סאלאטש	סאלאטש	סאלאטש				
סאָלאָטשין	סאָלאָטשין	סאָלאָטשין				
סאלאנט	סאלאנט	סאלאנט				
סאַלאַנט	סאַלאַנט	סאַלאַנט				
סאַלאַנט	סאַלאַנט	סאַלאַנט				
סאַלאַנט 	סאַלאַנט 	סאַלאַנט				
סאלאנטא	סאלאנטא	סאלאנטא				
סאָלאַני	סאָלאַני	סאָלאַני				
סאלאניק	סאלאניק	סאלאניק				
סאַלאָניק	סאַלאָניק	סאַלאָניק				
סאלאניקא	סאלאניקא	סאלאניקא				
סאַלאָנע	סאַלאָנע	סאַלאָנע				
סאָלאַנץ	סאָלאַנץ	סאָלאַנץ				
סאלאק	סאלאק	סאלאק				
סאַלאָק	סאַלאָק	סאַלאָק				
סאַלאָק	סאַלאָק	סאַלאָק				
סאַלאָק 	סאַלאָק 	סאַלאָק				
סאָלאָק	סאָלאָק	סאָלאָק				
סאלארד	סאלארד	סאלארד				
סאָלאַרד	סאָלאַרד	סאָלאַרד				
סאלאש	סאלאש	סאלאש				
סאַלאַש	סאַלאַש	סאַלאַש				
סאַלאַשפּאָטאָק	סאַלאַשפּאָטאָק	סאַלאַשפּאָטאָק				
סאלבין	סאלבין	סאלבין				
סאלדאבאדי	סאלדאבאדי	סאלדאבאדי				
סאָלדאָבאָדי	סאָלדאָבאָדי	סאָלדאָבאָדי				
סאלדאבאש	סאלדאבאש	סאלדאבאש				
סאַלדאָבאָש	סאַלדאָבאָש	סאַלדאָבאָש				
סאַלדאש	סאַלדאש	סאַלדאש				
סאַלדוטישאָק 	סאַלדוטישאָק 	סאַלדוטישאָק				
סאַלדעבעש 	סאַלדעבעש 	סאַלדעבעש				
סאָלדענעשט 	סאָלדענעשט 	סאָלדענעשט				
סאלווע	סאלווע	סאלווע				
סאלוניקו	סאלוניקו	סאלוניקו				
סאלוניקי	סאלוניקי	סאלוניקי				
סאלוצא	סאלוצא	סאלוצא				
סאַלוצאָ	סאַלוצאָ	סאַלוצאָ				
סאלוצו	סאלוצו	סאלוצו				
סאַלװע	סאַלװע	סאַלװע				
סאלטשין	סאלטשין	סאלטשין				
סאליבי	סאליבי	סאליבי				
סאָליכעװ	סאָליכעװ	סאָליכעװ				
סאָליען	סאָליען	סאָליען				
סאליץ	סאליץ	סאליץ				
סאָליץ	סאָליץ	סאָליץ				
סאליצא	סאליצא	סאליצא				
סאליצע	סאליצע	סאליצע				
סאלישט	סאלישט	סאלישט				
סאלנאק	סאלנאק	סאלנאק				
סאָלנאָק	סאָלנאָק	סאָלנאָק				
סאָלנאָק 	סאָלנאָק 	סאָלנאָק				
סאַלניצע 	סאַלניצע 	סאַלניצע				
סאָלניצע 	סאָלניצע 	סאָלניצע				
סאַלע	סאַלע	סאַלע				
סאַלען 	סאַלען 	סאַלען				
סאָלעניצע 	סאָלעניצע 	סאָלעניצע				
סאָלעץ	סאָלעץ	סאָלעץ				
סאלפארד	סאלפארד	סאלפארד				
סאַלפאָרד	סאַלפאָרד	סאַלפאָרד				
סאָלץ	סאָלץ	סאָלץ				
סאַלק 	סאַלק 	סאַלק				
סאלקא	סאלקא	סאלקא				
סאָלקאָ	סאָלקאָ	סאָלקאָ				
סאלקע	סאלקע	סאלקע				
סאַלקע	סאַלקע	סאַלקע				
סאמאטאר	סאמאטאר	סאמאטאר				
סאמאטור	סאמאטור	סאמאטור				
סאמאטער	סאמאטער	סאמאטער				
סאָמאָטער	סאָמאָטער	סאָמאָטער				
סאַמאָכװאַלעװיץ 	סאַמאָכװאַלעװיץ 	סאַמאָכװאַלעװיץ				
סאמאלנאקהוטא	סאמאלנאקהוטא	סאמאלנאקהוטא				
סאָמאָלנאָקהוטאָ	סאָמאָלנאָקהוטאָ	סאָמאָלנאָקהוטאָ				
סאמאריאן	סאמאריאן	סאמאריאן				
סאמאריין	סאמאריין	סאמאריין				
סאַמאָרין	סאַמאָרין	סאַמאָרין				
סאַמאָרײן	סאַמאָרײן	סאַמאָרײן				
סאמארקאנד	סאמארקאנד	סאמארקאנד				
סאַמאַרקאַנד	סאַמאַרקאַנד	סאַמאַרקאַנד				
סאמאשאודווארהעלי	סאמאשאודווארהעלי	סאמאשאודווארהעלי				
סאָמאָשאודװאָרהעלי	סאָמאָשאודװאָרהעלי	סאָמאָשאודװאָרהעלי				
סאמאשאויוואר	סאמאשאויוואר	סאמאשאויוואר				
סאמאשאוילאק	סאמאשאוילאק	סאמאשאוילאק				
סאָמאָשאױװאַר	סאָמאָשאױװאַר	סאָמאָשאױװאַר				
סאָמאָשאױלאָק	סאָמאָשאױלאָק	סאָמאָשאױלאָק				
סאָמאָשבארהיד	סאָמאָשבארהיד	סאָמאָשבארהיד				
סאמאשבעטש	סאמאשבעטש	סאמאשבעטש				
סאָמאָשבעטש	סאָמאָשבעטש	סאָמאָשבעטש				
סאָמאָשדאָב	סאָמאָשדאָב	סאָמאָשדאָב				
סאמאשסעג	סאמאשסעג	סאמאשסעג				
סאָמאָשסעג	סאָמאָשסעג	סאָמאָשסעג				
סאָמאָשסעפּלאָק	סאָמאָשסעפּלאָק	סאָמאָשסעפּלאָק				
סאָמאָשפאָלװאָ	סאָמאָשפאָלװאָ	סאָמאָשפאָלװאָ				
סאָמאָשקאָראָד	סאָמאָשקאָראָד	סאָמאָשקאָראָד				
סאמאשקאראר	סאמאשקאראר	סאמאשקאראר				
סאָמבאָט	סאָמבאָט	סאָמבאָט				
סאמבאטהעל	סאמבאטהעל	סאמבאטהעל				
סאמבאטהעלי	סאמבאטהעלי	סאמבאטהעלי				
סאָמבאָטהעלי	סאָמבאָטהעלי	סאָמבאָטהעלי				
סאמבאר	סאמבאר	סאמבאר				
סאמבור	סאמבור	סאמבור				
סאמבור ישן	סאמבור ישן	סאמבור	ישן			
סאמביר	סאמביר	סאמביר				
סאמבער	סאמבער	סאמבער				
סאַמבער	סאַמבער	סאַמבער				
סאַמבער 	סאַמבער 	סאַמבער				
סאמבר	סאמבר	סאמבר				
סאמטור	סאמטור	סאמטור				
סאמטער	סאמטער	סאמטער				
סאַמטער	סאַמטער	סאַמטער				
סאמי	סאמי	סאמי				
סאמילא	סאמילא	סאמילא				
סאמיניווקע	סאמיניווקע	סאמיניווקע				
סאַמיניװקע	סאַמיניװקע	סאַמיניװקע				
סאמיניפקי.	סאמיניפקי.	סאמיניפקי.				
סאמס ביי דיסלדארף	סאמס ביי דיסלדארף	סאמס	ביי	דיסלדארף		
סאָמס בײַ דיסלדאָרף	סאָמס בײַ דיסלדאָרף	סאָמס	בײַ	דיסלדאָרף		
סאמעטער	סאמעטער	סאמעטער				
סאמערדיק	סאמערדיק	סאמערדיק				
סאָמערדיק 	סאָמערדיק 	סאָמערדיק				
סאמפאלא	סאמפאלא	סאמפאלא				
סאמפאלנא	סאמפאלנא	סאמפאלנא				
סאמפאלנע	סאמפאלנע	סאמפאלנע				
סאַמפּאָלנע 	סאַמפּאָלנע 	סאַמפּאָלנע				
סאָמפּאָלנע	סאָמפּאָלנע	סאָמפּאָלנע				
סאמפעטער	סאמפעטער	סאמפעטער				
סאָן 	סאָן 	סאָן				
סאַן־סימאָני	סאַן־סימאָני	סאַן־סימאָני				
סאנאגערא	סאנאגערא	סאנאגערא				
סאנאוויטש	סאנאוויטש	סאנאוויטש				
סאנאװי	סאנאװי	סאנאװי				
סאנאפאטאק	סאנאפאטאק	סאנאפאטאק				
סאנאק	סאנאק	סאנאק				
סאַנאַק	סאַנאַק	סאַנאַק				
סאנגערע	סאנגערע	סאנגערע				
סאַנגערע	סאַנגערע	סאַנגערע				
סאנגרוהד	סאנגרוהד	סאנגרוהד				
סאנגרוהט	סאנגרוהט	סאנגרוהט				
סאנגרוט	סאנגרוט	סאנגרוט				
סאנגרוטה	סאנגרוטה	סאנגרוטה				
סאנדאווא	סאנדאווא	סאנדאווא				
סאנדאווא ווישנא	סאנדאווא ווישנא	סאנדאווא	ווישנא			
סאנדאוואווישניא	סאנדאוואווישניא	סאנדאוואווישניא				
סאנדאווא ווישניא	סאנדאווא ווישניא	סאנדאווא	ווישניא			
סאנדאווישנא	סאנדאווישנא	סאנדאווישנא				
סאנדאווע ווישנא	סאנדאווע ווישנא	סאנדאווע	ווישנא			
סאנדאוועווישניע	סאנדאוועווישניע	סאנדאוועווישניע				
סאנדאווע ווישניץ	סאנדאווע ווישניץ	סאנדאווע	ווישניץ			
סאַנדאָװע־װישניע	סאַנדאָװע־װישניע	סאַנדאָװע־װישניע				
סאַנדאָװע־װישניע 	סאַנדאָװע־װישניע 	סאַנדאָװע־װישניע				
סאַנדאָמיר	סאַנדאָמיר	סאַנדאָמיר				
סאנדא מירוש	סאנדא מירוש	סאנדא	מירוש			
סאנדווע ווישנא	סאנדווע ווישנא	סאנדווע	ווישנא			
סאנדוי	סאנדוי	סאנדוי				
סאַנדױ	סאַנדױ	סאַנדױ				
סאנדז	סאנדז	סאנדז				
סאַנדז	סאַנדז	סאַנדז				
סאנדז, אלט	סאנדז, אלט	סאנדז,	אלט			
סאַנדז, אַלט־	סאַנדז, אַלט־	סאַנדז,	אַלט־			
סאַנדז אַלט־	סאַנדז אַלט־	סאַנדז	אַלט־			
סאנדזישוב	סאנדזישוב	סאנדזישוב				
סאנדימורש	סאנדימורש	סאנדימורש				
סאנדיץ	סאנדיץ	סאנדיץ				
סאַנדע	סאַנדע	סאַנדע				
סאנדעץ	סאנדעץ	סאנדעץ				
סאנדערלענד	סאנדערלענד	סאנדערלענד				
סאַנדערלענד	סאַנדערלענד	סאַנדערלענד				
סאנדץ	סאנדץ	סאנדץ				
סאנוק	סאנוק	סאנוק				
סאַנזיק	סאַנזיק	סאַנזיק				
סאנטא	סאנטא	סאנטא				
סאַנטאָ	סאַנטאָ	סאַנטאָ				
סאנטאב	סאנטאב	סאנטאב				
סאָנטאָו 	סאָנטאָו 	סאָנטאָו				
סאנטאוו	סאנטאוו	סאנטאוו				
סאַנטאָװ	סאַנטאָװ	סאַנטאָװ				
סאנטאָמישל	סאנטאָמישל	סאנטאָמישל				
סאנטאף	סאנטאף	סאנטאף				
סאנטוב	סאנטוב	סאנטוב				
סאנטוי	סאנטוי	סאנטוי				
סאנטוף	סאנטוף	סאנטוף				
סאנטין	סאנטין	סאנטין				
סאנטיערגין	סאנטיערגין	סאנטיערגין				
סאנטיף	סאנטיף	סאנטיף				
סאנטלואוס	סאנטלואוס	סאנטלואוס				
סאנטלואיז	סאנטלואיז	סאנטלואיז				
סאנטלויז	סאנטלויז	סאנטלויז				
סאנטע	סאנטע	סאנטע				
סאַנטע 	סאַנטע 	סאַנטע				
סאנטעב	סאנטעב	סאנטעב				
סאנטעוו	סאנטעוו	סאנטעוו				
סאנטעװ	סאנטעװ	סאנטעװ				
סאנטפראנציקא	סאנטפראנציקא	סאנטפראנציקא				
סאנטרע	סאנטרע	סאנטרע				
סאָנטרע	סאָנטרע	סאָנטרע				
סאניוגד	סאניוגד	סאניוגד				
סאניוואץ	סאניוואץ	סאניוואץ				
סאניווער	סאניווער	סאניווער				
סאניװאץ	סאניװאץ	סאניװאץ				
סאניסלא	סאניסלא	סאניסלא				
סאַניסלאָ	סאַניסלאָ	סאַניסלאָ				
סאַניסלאָ בײַ קאָראָלע	סאַניסלאָ בײַ קאָראָלע	סאַניסלאָ	בײַ	קאָראָלע		
סאָניסלאָו 	סאָניסלאָו 	סאָניסלאָו				
סאניסלוי	סאניסלוי	סאניסלוי				
סאניעוואץ	סאניעוואץ	סאניעוואץ				
סאניק	סאניק	סאניק				
סאָניק	סאָניק	סאָניק				
סאָניק 	סאָניק 	סאָניק				
סאניקי	סאניקי	סאניקי				
סאנעװ	סאנעװ	סאנעװ				
סאן-פעלטען	סאן-פעלטען	סאן-פעלטען				
סאנץ	סאנץ	סאנץ				
סאַנקאָװיץ	סאַנקאָװיץ	סאַנקאָװיץ				
סאנקט אינגבערט	סאנקט אינגבערט	סאנקט	אינגבערט			
סאַנקט אינגבערט	סאַנקט אינגבערט	סאַנקט	אינגבערט			
סאסאוו	סאסאוו	סאסאוו				
סאסאויפאלו	סאסאויפאלו	סאסאויפאלו				
סאַסאױפאָלו	סאַסאױפאָלו	סאַסאױפאָלו				
סאסוב	סאסוב	סאסוב				
סאסוואראש	סאסוואראש	סאסוואראש				
סאַסװאַראָש	סאַסװאַראָש	סאַסװאַראָש				
סאַסװעסיד	סאַסװעסיד	סאַסװעסיד				
סאַסװער	סאַסװער	סאַסװער				
סאַסט	סאַסט	סאַסט				
סאסי	סאסי	סאסי				
סאסיב	סאסיב	סאסיב				
סאסיווקע	סאסיווקע	סאסיווקע				
סאַסיװקע	סאַסיװקע	סאַסיװקע				
סאסין	סאסין	סאסין				
סאסיפקי	סאסיפקי	סאסיפקי				
סאַסיקי	סאַסיקי	סאַסיקי				
סאסיקע	סאסיקע	סאסיקע				
סאַסלאָנע	סאַסלאָנע	סאַסלאָנע				
סאסלעקענצע	סאסלעקענצע	סאסלעקענצע				
סאַסלעקענצע	סאַסלעקענצע	סאַסלעקענצע				
סאָסמאַקין	סאָסמאַקין	סאָסמאַקין				
סאַסמעדיעש	סאַסמעדיעש	סאַסמעדיעש				
סאסנאדאש	סאסנאדאש	סאסנאדאש				
סאַסנאַדאָש	סאַסנאַדאָש	סאַסנאַדאָש				
סאסנאוויטץ	סאסנאוויטץ	סאסנאוויטץ				
סאסנאוויטצע	סאסנאוויטצע	סאסנאוויטצע				
סאסנאוויץ	סאסנאוויץ	סאסנאוויץ				
סאסנאוויצא	סאסנאוויצא	סאסנאוויצא				
סאסנאווצי	סאסנאווצי	סאסנאווצי				
סאסנאווצע	סאסנאווצע	סאסנאווצע				
סאָסנאָװיץ	סאָסנאָװיץ	סאָסנאָװיץ				
סאָסנאָװצע	סאָסנאָװצע	סאָסנאָװצע				
סאסניצע	סאסניצע	סאסניצע				
סאָסניצע	סאָסניצע	סאָסניצע				
סאָסניצע 	סאָסניצע 	סאָסניצע				
סאסנירעש	סאסנירעש	סאסנירעש				
סאַסנירעש	סאַסנירעש	סאַסנירעש				
סאָסנעװצע 	סאָסנעװצע 	סאָסנעװצע				
סאסעוו	סאסעוו	סאסעוו				
סאַסעװ 	סאַסעװ 	סאַסעװ				
סאַסעװקע 	סאַסעװקע 	סאַסעװקע				
סאַסעקע 	סאַסעקע 	סאַסעקע				
סאספאלו	סאספאלו	סאספאלו				
סאַספאָלו	סאַספאָלו	סאַספאָלו				
סאספע	סאספע	סאספע				
סאַספע	סאַספע	סאַספע				
סאַספעלאַק	סאַספעלאַק	סאַספעלאַק				
סאספעלע	סאספעלע	סאספעלע				
סאַספֿעלע	סאַספֿעלע	סאַספֿעלע				
סאַסרעגין 	סאַסרעגין 	סאַסרעגין				
סאס רעגע	סאס רעגע	סאס	רעגע			
סאסרעגען	סאסרעגען	סאסרעגען				
סאס-רעגען	סאס-רעגען	סאס-רעגען				
סאַסרעגען	סאַסרעגען	סאַסרעגען				
סאסשעבעש	סאסשעבעש	סאסשעבעש				
סאַסשעבעש	סאַסשעבעש	סאַסשעבעש				
סאעאר	סאעאר	סאעאר				
סאפאטקא	סאפאטקא	סאפאטקא				
סאפּאטקא	סאפּאטקא	סאפּאטקא				
סאפאטקין	סאפאטקין	סאפאטקין				
סאָפּאָטקין	סאָפּאָטקין	סאָפּאָטקין				
סאפאר	סאפאר	סאפאר				
סאַפּאָר	סאַפּאָר	סאַפּאָר				
סאָפּאָר	סאָפּאָר	סאָפּאָר				
סאפיזישאק	סאפיזישאק	סאפיזישאק				
סאַפּיזישאָק	סאַפּיזישאָק	סאַפּיזישאָק				
סאַפּיזישאָק	סאַפּיזישאָק	סאַפּיזישאָק				
סאַפּיזישאָק 	סאַפּיזישאָק 	סאַפּיזישאָק				
סאפּיט	סאפּיט	סאפּיט				
סאפינקא	סאפינקא	סאפינקא				
סאפינקע	סאפינקע	סאפינקע				
סאפיע	סאפיע	סאפיע				
סאָפיע	סאָפיע	סאָפיע				
סאפסאן	סאפסאן	סאפסאן				
סאפעטקין	סאפעטקין	סאפעטקין				
סאַפּעטקין 	סאַפּעטקין 	סאַפּעטקין				
סאַפּקאָװ	סאַפּקאָװ	סאַפּקאָװ				
סאָפּקיװקע 	סאָפּקיװקע 	סאָפּקיװקע				
סאצאמין	סאצאמין	סאצאמין				
סאקאטש	סאקאטש	סאקאטש				
סאקאי	סאקאי	סאקאי				
סאקאל	סאקאל	סאקאל				
סאָקאָל	סאָקאָל	סאָקאָל				
סאקאלאב	סאקאלאב	סאקאלאב				
סאקאלאב הסמוך לסטריא	סאקאלאב הסמוך לסטריא	סאקאלאב	הסמוך	לסטריא		
סאקאלאוו פאדלאסק	סאקאלאוו פאדלאסק	סאקאלאוו	פאדלאסק			
סאקאלאוופאדלאסק 3555	סאקאלאוופאדלאסק 3555	סאקאלאוופאדלאסק	3555			
סאקאלאוו-פאדליאסקי	סאקאלאוו-פאדליאסקי	סאקאלאוו-פאדליאסקי				
סאָקאָלאָװ	סאָקאָלאָװ	סאָקאָלאָװ				
סאָקאָלאָװ 	סאָקאָלאָװ 	סאָקאָלאָװ				
סאָקאָלאָװ־פּאָדלאַסק	סאָקאָלאָװ־פּאָדלאַסק	סאָקאָלאָװ־פּאָדלאַסק				
סאָקאָלאָװע	סאָקאָלאָװע	סאָקאָלאָװע				
סאָקאָלאָװקע	סאָקאָלאָװקע	סאָקאָלאָװקע				
סאקאלאש	סאקאלאש	סאקאלאש				
סאקאלב	סאקאלב	סאקאלב				
סאקאלד	סאקאלד	סאקאלד				
סאָקאַלד	סאָקאַלד	סאָקאַלד				
סאקאלוב	סאקאלוב	סאקאלוב				
סאקאלוב הסמוך לרישא	סאקאלוב הסמוך לרישא	סאקאלוב	הסמוך	לרישא		
סאקאלווקא	סאקאלווקא	סאקאלווקא				
סאקאלי	סאקאלי	סאקאלי				
סאָקאָלי	סאָקאָלי	סאָקאָלי				
סאקאליב	סאקאליב	סאקאליב				
סאקאליץ	סאקאליץ	סאקאליץ				
סאָקאָליץ 	סאָקאָליץ 	סאָקאָליץ				
סאקאליקא	סאקאליקא	סאקאליקא				
סאקאליקי	סאקאליקי	סאקאליקי				
סאָקאָליקי	סאָקאָליקי	סאָקאָליקי				
סאָקאָלע 	סאָקאָלע 	סאָקאָלע				
סאקאלקע	סאקאלקע	סאקאלקע				
סאַקאָלקע 	סאַקאָלקע 	סאַקאָלקע				
סאָקאָלקע	סאָקאָלקע	סאָקאָלקע				
סאקאס	סאקאס	סאקאס				
סאָקאָס	סאָקאָס	סאָקאָס				
סאקאראן	סאקאראן	סאקאראן				
סאָקאָשאָלמאַש	סאָקאָשאָלמאַש	סאָקאָשאָלמאַש				
סאקטמאר	סאקטמאר	סאקטמאר				
סאקי	סאקי	סאקי				
סאקילאוו	סאקילאוו	סאקילאוו				
סאקילוב	סאקילוב	סאקילוב				
סאקלאב	סאקלאב	סאקלאב				
סאקלוב	סאקלוב	סאקלוב				
סאקלניק	סאקלניק	סאקלניק				
סאָקלניק 	סאָקלניק 	סאָקלניק				
סאקלע	סאקלע	סאקלע				
סאקמאר	סאקמאר	סאקמאר				
סאקמיר	סאקמיר	סאקמיר				
סאקמער	סאקמער	סאקמער				
סאקס	סאקס	סאקס				
סאַקסאָװיץ	סאַקסאָװיץ	סאַקסאָװיץ				
סאָקעלאָװע 	סאָקעלאָװע 	סאָקעלאָװע				
סאקעליווקע	סאקעליווקע	סאקעליווקע				
