א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
לגבי,לעגאַבע,
לגמרי,לעגאַמרע,
לגנאי,ליגנײַ,
לדוגמא,לעדוגמע,
לדור־דורות,לעדאָר־דוירעס,
לדורות,לעדוירעס,
להבא,לעהאַבע,
להבדיל,לעהאַוודל,
להוט,לאָעט,
להיי (אָדער אַמאָל להי),לעהיי,
להיפוך (אָדער אַמאָל להפך),לעהייפּעך,
להכעיס,לעהאַכעס (אָדער אַמאָל לאָכעס),
להרג־ולאבד,לעהאַרעג־אולעאַבעד,
לווה,לויווע,
לווים,לויווים,
לווי,לייווי,
לוויים,לעוויִים,
לוויה (אָדער אַמאָל לויה),לעוואַיע,
לוויות,לעוואַיעס,
לוויתן (אָדער אַמאָל לויתן),לעוויאָסן,
לוח,לועך,
לוחות,לוכעס,
לולב,לולעוו,
לולבים,לולאָווים,
לומדות,לאָמדעס,
לזכר,לעזייכער,
לזכר־עולם,לעזייכער־אוילעם,
לזכרון,לעזיקאָרן,"""... לוינט דאָ, עפשער, פארשרײַבן די צאוואָע לעזיקאָרן:"""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
לחוד,לעכוד,
לחות,לייכעס,
לחיים,לעכאַיִם,
לחלוטין,לאַכלוטן,
לחם,לעכעם,
לחמא,לאַכמע,
לחש,לאַכעש,
לחשים,לעכאָשים,
לטובה,לעטויווע,
לטובת,לעטויוועס,
לטובת־הכלל,לעטויוועס־האַקלאַל,
ליהודים,לאַיעהודים,
ליחה,לייכע,
ליחות,לייכעס,
ליל־השימורים (אָדער אַמאָל ליל־שימורים),לייל־האַשימורים (אָדער אַמאָל לייל־שימורים),
לילית,לילעס,
לימוד (אָדער אַמאָל למוד),לימעד,
לימודים (אָדער אַמאָל למודים),לימודים,
לימודי־חול,לימודע־כויל,
לימודי־קודש,לימודע־קוידעש,
לימודיות,לימודיִעס,
ליצן,לייצן,
ליצנים,לייצאָנים,
ליצנות (אָדער אַמאָל לצנות),לעצאָנעס,
ליקוי (אָדער אַמאָל לקוי),ליקע,
ליקויים,ליקוּיִם,
ליקוי־חמה,ליקע־כאַמע,
ליקוי־לבנה,ליקע־לעוואָנע,
לית דין ולית דיין,לעס דין וועלעס דײַען,
לית מאן דפליג,לעס מאַן דעפּאַלעג,
לכבוד,לעקאָוועד (אָדער אַמאָל ליכווויד),
לכל,לעכאָל (אָדער אַמאָל לעקאָל),
לכל־הדעות,לעכאָל־אַדייעס (אָדער אַמאָל לעקאָל־אַדייעס),
לכל־הפחות,לעכאָל־אַפּאָכעס (אָדער אַמאָל לעקאָל־אַפּאָכעס),
לכן,לאָכען (אָדער אַמאָל לאָכן),
"לכסון (גענוצט אין דעם ייִדישן וואָרט ""באלכסון"" וואָס הייסט דיאַגאָנאַל)",לאַכסן,
לכף־זכות,לעקאַף־סכוס,
לכף־חוב,לעקאַף־כויוו,
לכשירחיב,ליכשעיאַרכעוו,
לכתחילה,לעכאַטכילע (אָדער אַמאָל לעקאַטכילע),
ללעג־ולקלס,לעלאַאַג־אולקעלעס,
למאי,לעמײַ,
למד,לאַמעד,
למדן,לאַמדן,
למדנים (אָדער אַמאָל לומדים),לאַמדאָנים (אָדער אַמאָל לאָמדים),
למדנות,לאַמדאָנעס,
למזל,לעמאַזל,
למטה,לעמאַטע,
למך,לעמעך,
למעלה,לעמײַלע,
למען־האמת,לעמאַן־האָעמעס,
למען־השם,לעמאַן־אַשעם,
למען־ידעו,לעמאַן־ייידו,
למראית־עין,לעמאַרעס־אַייִן,
למשל,לעמאָשל,
לנוי,לענוי,
לסוף,לעסאָף,
לסירוגין,לעסיירוגין‏[2],
,"(אָדער אַמאָל לעסיירוגן לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
לעבודת־הבורא,לעאַוווידעס־האַבוירע,
לעולם,לעוילעם,
לעולם־ועד,לעוילעם־וואָעד,
לעולם תיקח,לעוילעם טיקעך,
לעזאזל,לאַזאָזל,
לעילא־ולעילא,ליילע־אוליילע,
לערך,לעערעך,
לעת־עתה,לעס־אַטע,
לעתיד־לבוא,לעאָסעד־לאָווע,
לפחות,לעפּאָכעס,
לפי־דעתי,לעפֿי־דאַטי,
לפי־ערך,לעפֿי־ערעך,
לפי־שעה,לעפֿי־שאָ,
לפנים,לעפּאָנעם,
לפנים־משורת־הדין,ליפֿנים־מישורעס־האַדין,
לפרט־גדול,ליפּראַט־גאָדל,
(אָפֿט געשריבן לפ״ג),(לאַפּאַג),
לפרט־קטן,ליפּראַט־קאָטן,
(אָפֿט געשריבן לפ״ק),(לאַפּאַק),
לץ,לעץ,
לצים (אָדער אַמאָל לצנים),לעצאָנים (אָדער אַמאָל לייצים),
לצני־הדור,לעצאָנע־האַדאָר,
לצנות,לעצאָנעס,
לקח (געניצט אין דעם ייִדישן ווערב לקחענען אָדער אַמאָל לקחען),לאַקך,
לרוב,לעראָוו,
לרעה,לעראָע,
לרצון,לעראָצן,
לשבח,לישוואַך,
לשון,לאָשן,
לשונות,לעשוינעס,
לשון־הקודש (אָדער אַמאָל לשון־קודש),לאָשן־האַקוידעש (אָדער אַמאָל לאָשן־קוידעש),
לשון־הרע,לאָשן־האָרע,
לשון־זכר,לאָשן־זאָכער,
לשון־יחיד,לאָשן־יאָכעד,
לשון־נקבה,לאָשן־נעקייווע,
לשון־נקיה,לאָשן־נעקיִע,
לשון־סגי־נהור,לאָשן־סעגי־נאָער,
לשון־רבים,לאָשן־ראַבים,
לשיטתו,לעשיטאָסע,
לשם,לעשעם,
לשם־שמים,לעשעם־שאָמאַיִם,
לשמה,לישמאָ,
לשנה הבאה בירושלים,לעשאָנאָ האַבאָאָ בירושאָלאַיִם (אָדער אַמאָל לעשאָנאָ האַבאָ בירושאָלאַיִם),
לשנה־טובה,לעשאָנע־טויווע,
לשנה־טובות,לעשאָנע־טויוועס,
לשנה טובה תכתבו (ותחתמו),לעשאָנע טויוואָ טיקאָסייוווּ (וועסייכאָסיימו)‏[2],
,"(אָדער אַמאָל לעשאָנע טויווע טיקאָסייוווּ לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
לתורה לחופה ולמעשים־טובים,לעטוירע לעכופּע אולעמײַסים־טויווים,
לתרבות־רעה,לעטאַרבעס־ראָע,
לתשמיש,לעטאַשמעש,
,,
מ[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
מ (אויך די צאָל 40),מ,
מאבד,מעאַבעד,
מאבד־עצמו־לדעת,מעאַבעד־אַצמע־לאַדאַאַס,
מאדים,מײַדעם,
מאה,מייע,
מאות,מייעס,
מאה־דעה,מייע־דייע,
מאה וחמשים ועשרים,מייע וועכאמישים וועעסרים,"""... און לעהורוויץ זאָל מען אָפּגעבן מייע וועכאמישים וועעסרים,..."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
מאוים (געניצט אין דעם ייִדישן וואָרט מאוימדיק),מוּיעם (וועסייכאָסיימו)‏[2],
,"(אָדער אַמאָל מעוּיעם לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
מאוס,מאָעס,
מאחורי־הפּרגוד,מעאַכוירע־האַפּאַרגעד,
מאי דקאמרי,מײַ דעקאָאַמרע,
מאי קא משמע לן,מײַ קאָ מאַשמע לאָן,
מאיים,מעאַיעם,
מאיר בעל־הנס,מייער באַלאַנעס,
מאכיל־טרפות,מײַכל־טאַרפֿעס,
(געניצט אין דעם וואָרט מאכיל־טרפותניק),,
מאכל,מײַכל,
מאכלים,מײַכאָלים,
מאמין,מײַמען,
מאמינים,מײַמינים,
מאמר,מײַמער,
מאמרים,מײַמאָרים,
מאמר־המוסגר,מײַמער־האַמוסגער,
מאנס,מעאַנעס,
מאסף,מעאַסעף,
מאסף־ממון,מעאַסעף־מאָמען,
מאריך,מײַרעך,
מאריך־ימים,מײַרעך־יאָמים,
מאריך־ימים־ושנים,מײַרעך־יאָמים־וועשאָנים,
מבול,מאַבל,
מבאר,מעוואַער,
מבוהל,מעוווּעל,
מבוזה,מעוווּזע,
מבויש,מעוווּיעש,
מבולבל,מעוווּלבל,
מבוסם,מעוווּסעם,
מבושם,מעוווּסעם,
מבזה,מעוואַזע,
מבחין,מאַפֿכן,
מבטיח,מאַפֿטיִעך,
מבטל,מעוואַטל,
מבייש,מעוואַיעש,
מבין,מייוון,
מבינים,מעווינים,
מבין־בלשון,מייוון־בעלאָשן,
מבין־כל־דיבור (אָדער אַמאָל מבין־כל־דבר),מייוון־קאָל־דיבער (אָדער אַמאָל מייוון־קאָל־דאָווער),
מבינות,מעווינעס,
מבלבל,מעוואַלבל,
מבער,מעוואַער,
מבער־חמץ,מעוואַער־כאָמעץ,
מבקר,מעוואַקער,
מבקרים,מעוואַקרים,
מבקר־חולה,מעוואַקער־כוילע,
מבשר,מעוואַסער,
מבשר־בשורה,מעוואַסער־פּסורע,
מגדל,מעגאַדל,
מגולגל,מעגולגל,
מגושם,מעגושעם,
מגושמים,מעגושאָמים,
מגזם,מעגאַזעם,
מגיד,מאַגעד,
מגידים,מאַגידים,
מגידות,מאַגידעס,
מגידת,מאַגידעס,
מגיה,מאַגיִע,
מגיהים,מאַגיִים,
מגייר,מעגאַיער,
מגילה,מעגילע,
מגילות,מעגילעס,
מגילת־אסתר,מעגילעס־עסטער,
מגין,מייגן,
מגיפה (אָדער אַמאָל מגפה),מאַגייפֿע,
מגיפות (אָדער אַמאָל מגפות),מאַגייפֿעס,
מגלה,מעגאַלע,
מגלה־סוד,מעגאַלע־סאָד,
מגן־דוד,מאָגן־דאָוועד,
מגע־ומשא,מאַגעמאַסע,
מגרש,מעגאַרעש,
מדאורייתא,מידאָרײַסע,
מדובר,מעדובער,
מדחה,מאַטכע,
מדינה,מעדינע,
מדינות,מעדינעס,
מדינת־ישראל,מעדינעס־ייִסראָעל,
מדפיס,מאַטפּעס (אָדער אַמאָל מאַטפֿעס),
מדפיסים,מאַטפּיסים (אָדער אַמאָל מאַטפֿיסים),
מדקדק,מעדאַקדעק,
מדקדקים,מעדאַקדעקים,
מדרבנן,מידראַבאָנען,
מדרגה,מאַדרייגע,
מדרגות,מאַדרייגעס,
מדריך,מאַדרעך,
מדריכים,מאַדריכים,
מדרש,מעדרעש,
מדרשים,מעדראָשים,
מה,מאַ,
מה־בכך,מאַ־בעקאַך,
מה־דאך,מאַ־דעך,
מה־טוב,מאַ־טויוו,
מה־יעשה (געניצט אין דעם ייִדישן זאַכוואָרט מה־יעשהניק),מאַ־יײַסע,
מה־יפית,מאַ־יאָפֿעס,
מה־יקר,מאַ־יאָקער,
מה־נשתנה,מאַ־נישטאַנע,
מה פשעי,מאַ פּישי,
מה־רעש,מאַ־ראַש,
מה־שמך,מאַ־שמעכאָ,
מה־שמכם,מאַ־שמייכעם,
מהאי־טעמא,מעהײַ־טײַמע,
מהדר,מעהאַדער,
מהדרין־מן־המהדרין,מעהאַדרין־מין־האַמעהאַדרין,
מהודר,מעהודער,
מהומה,מעהומע,
מהומות,מעהומעס,
מהות,מעהוס,
מהיום והלאה,מעהאַיעם וואָהאָלע,
מהיכא־תיתי,מעכעטייסע (אָדער אַמאָל מעכטייסע),
מהירות,מעהירעס,
מהלך,מעהאַלעך,
מהלך־רב,מעהאַלעך־ראַוו,
מהנה,מעהאַנע,
מהפך,מעהאַפּעך,
מהרהר,מעהאַרהער (אָדער אַמאָל מעהאַרער),
מודה,מוידע,
מודה־אני,מוידע־אַני,
מודה־ומתוודה,מוידע־אומיסוואַדע,
מודיע,מוידיִע (אָדער אַמאָל מעדיִע),
מודעה,מוידאָע (אָדער אַמאָל מעדאָע),
מודעות,מוידאָעס (אָדער אַמאָל מעדאָעס),
מוהל,מויעל,
מוהלים,מויעלים,
מוותר,מעוואַטער,
מוח (אָדער אַמאָל מח),מויעך,
מוחות,מויכעס,
מוחזק,מוכזעק,
מוחל,מויכל,"""מען דארף עס אָבער דער מומע גיטען מויכל זײַן,..."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 10."
מוחרם,מוכרעם,
מוחרמים,מוכראָמים,
מוטל,מוטל,
מוטל־בספק,מוטל־בעסאָפֿעק,
מוכז,מוקאַז,
מוכיח,מויכיִעך,
מוכיחים,מויכיכים,
מוכן־ומזומן,מוכן־אומזומען,
מוכס,מויכעס,
מוכסים,מאָכסים,
מוכסן (אָדער אַמאָל מכסן),מאָכסן,
מוכסנים (אָדער אַמאָל מכסן),מאָכסאָנים,
מוכר,מויכער,
מוכרים,מאָכרים,
מוכר־ספרים,מויכער־ספֿאָרים,
מוכרי־ספרים,מויכרע־ספֿאָרים‏[2],
,"(אָדער אַמאָל מאָכרע־ספֿאָרים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
מולד,מוילעד,
מוליד,מוילעד,
מולך,מוילעך,
מום,מום,
מומים,מומים,
מומחה,מומכע,
מומחים,מומכים,
מומר,מומער,
מומרים,מומרים,
מוסיף,מויסעף,
מוסכם,מוסקעם,
מוסמך,מוסמעך,
מוסמכים,מוסמאָכים,
מוסף,מוסעף,
מוספים,מוסאָפֿים,
מוסר,מוסער,
מוסר,מויסער,
מוסרים,מאָסרים,
מוסר־השכל,מוסער־האַסקל,
מוסר־מודעה,מויסער־מיידאָע‏[2],
,"(אָדער אַמאָל מויסער־מוידאָע אָדער מויסער־מעדאָע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
מוסר־נפש,מויסער־נעפֿעש,
מוסר־ספר,מוסער־סייפֿער,
מוסר־ספרים,מוסער־ספֿאָרים,
מועד,מועד,
מועל,מויעל,
מועל־בשליחות,מויעל־בישליכעס,
מופלג,מופֿלעג,
מופלגים,מופֿלאָגים,
מופקר,מופֿקער,
מופקרים,מופֿקאָרים,
מופקרת,מופֿקערעס,
מופת,מויפֿעס,
מופתים,מאָפֿסים,
מוצא־חן,מויצע־כיין,
מוצאי־,מאָצע־,
מוצאי־יום־טוב,מאָצע־יאָן־טעף,
מוצאי־שבת,מאָצע־שאַבעס,
מוציא־שם־רע,מויצע־שעם־ראַ,
מוציא־שנתו,מויצע־שנאָסע,
מוצלח,מוצלעך,
מוצלחים,מוצלאָכים,
מוקיר,מויקער,
מוקירים,מויקירים,
מוקצה,מוקצע,
מוקצה־מחמת־מיאוס,מוקצע־מאַכמעס־מיִעס,
מוקשה,מוקשע,
מורא,מוירע,
מורא־נפש,מוירע־נעפֿעש,
מורד,מוירעד,
מורדים,מאָרדים,
מורד־במלכות,מוירעד־בעמאַלכעס,
מורדים־במלכות,מאָרדים־בעמאַלכעס,
מורה־דרך,מוירע־דערעך,
מורי־דרך,מוירע־דערעך,
מורה־הוראה,מוירע־הויראָע (אָדער אַמאָל מוירע־ראָע),
מורה־מורנו,מוירע־מויריינע,
מורי ורבותי,מוירײַ וועראַבויסײַ,
מוריד,מוירעד,
מורנו,מויריינע (אָדער אַמאָל מעריינע),
מושב,מוישעוו,
מושב־זקנים,מוישעוו־סקיינים,
מושג,מוסעג,
מושגים,מוסאָגים,
מושווה,מושווע,
מושל,מוישל,
מושלים,מאָשלים,
מושלם,מושלעם,
מושלמים,מושלאָמים,
מושלמת,מושלעמעס,
מושכל ראשון,מוסקל רישן,
מותר,מויסר,
מותרותן (אָדער אַמאָל מותרות),מויסרעסן (אָדער אַמאָל מויסרעס אָדער מאָסרעס),
מותר,מוטער,
מזבח,מיזבייעך,
מזבחות,מיזבייכעס,
מזג,מעזעג,
מזג־טוב,מעזעק־טאָוו,
מזדמן,מיזדאַמען,
מזהיר,מאַזער,
מזווג,מעזאַוועג,
מזוזה,מעזוזע,
מזוזות,מעזוזעס,
מזומן,מעזומען,
מזומנים,מעזומאָנים,
מזונות,מעזוינעס,
מזיק,מאַזעק,
מזיקים,מאַזיקים,
מזכה,מעזאַקע,
מזכיר,מאַסקער,
מזכיר־נשמות,מאַסקער־נעשאָמעס,
מזל,מאַזל,
מזלות,מאַזאָלעס,
מזל־ברכה,מאַזל־בראָכע,
מזל־טוב,מאַזל־טאָוו,
מזלזל,מעזאַלזל,
מזנה,מעזאַנע,
מזרז,מעזאַרעז,
מזרחי,מיזראָכי,
מזרחים,מיזראָכים,
מח,מאָך,
מחבל,מעכאַבל,
מחבלים,מעכאַבאָלים (אָדער אַמאָל מעכאַבלים),
מחבר,מעכאַבער,
מחברים,מעכאַברים,
מחבר־שורה,מעכאַבער־שורע,
מחבר־שורות,מעכאַבער־שורעס,
מחדש,מעכאַדעש,
מחה,מאָכע,
מחויב,מעכוּיעוו,
מחולק,מעכולעק,
מחוסר־לחם,מעכוסער־לעכעם,
מחוסרי־לחם,מעכוסרע־לעכעם,
מחוץ,מיכוץ (אָדער אַמאָל מעכוץ),
מחוץ־לדרך־הטבע,מיכוץ־לעדערעך־האַטעווע (אָדער אַמאָל מעכוץ־לעדערעך־האַטעווע),
מחוץ־למחנה,מיכוץ־לעמאַכנע‏[2],
,"(אָדער אַמאָל מיכוץ־לאַמאַכנע אָדער מעכוץ־לאַמאַכנע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
מחוצף,מעכוצעף,
מחוצפים,מעכוצאָפֿים,
מחוצף־פנים,מעכוצעף־פּאָנעם,
מחוקק,מעכויקעק,
מחוקקים,מעכאָקעקים,
מחותן,מעכוטן,
מחותנים,מעכוטאָנים,
מחזור,מאַכזער,
מחזורים,מאַכזוירים,
מחזיר,מאַכזער,
מחזיר־למוטב,מאַכזער־לעמוטעוו,
מחזק,מעכאַזעק,
מחזקות,מאַכזאָקעס,
מחיה,מעכאַיע,
מחיה־מתים,מעכאַיע־מייסים,
מחיה־נפשות,מעכאַיע־נעפֿאָשעס,
מחייב,מעכאַיעוו,
מחילה,מעכילע,
מחיצה,מעכיצע,
מחיצות,מעכיצעס,
מחלה,מאַכלע,
מחלות,מאַכלעס,
מחלוקה,מאַכלויקע,
מחלוקות,מאַכלויקעס,
מחלוקת,מאַכלויקעס,
מחלל,מעכאַלעל,
מחלל־השם (אָדער אַמאָל מחלל־שם),מעכאַלעל־האַשעם (אָדער אַמאָל מעכאַלעל־שעם),
מחלל־זיווג,מעכאַלעל־זיוועג,
מחללי־זיווגים,מעכאַלעלע־זיוווּגים,
מחלל־שבת,מעכאַלעל־שאַבעס,
מחלק,מעכאַלעק,
מחמד,מאַכמעד,
מחמיר,מאַכמער,
מחמירים,מאַכמירים,
מחמת,מאַכמעס,"""... און וואָס פאר א געדאנקען ער שאפט, ווייס מען ניט, מאכמעס ער זאָגט זיי ניט ארויס."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9."
מחנה,מאַכנע,
מחנות,מאַכנעס,
מחנך,מעכאַנעך,
מחסר,מעכאַסער,
מחק,מעכאַק (אָדער אַמאָל מכאַק),
מחקים,מעכאַקים (אָדער אַמאָל מכאַקים),
מחקר,מעכקער,
מחריב,מאַכרעוו,
מחרים,מאַכרעם,
מחרף,מעכאַרעף,
מחרף־ומגדף,מעכאַרעף־אומעגאַדעף,
מחשבה,מאַכשאָווע,
מחשבות,מאַכשאָוועס,
מחשבה־זרה,מאַכשאָווע־זאָרע,
מחשבות־זרות,מאַכשאָוועס־זאָרעס,
מחשבותן,מאַכשאָוועסן,
מטבע,מאַטבייע,
מטבעות,מאַטבייעס,
מטה־מטה,מאַטע־מאָטע,
מטהר,מעטאַער,
מטופל,מעטופּל,
מטופלים,מעטופּאָלים,
מטורף,מעטורעף,
מטורפים,מעטוראָפֿים,
מטורפת,מעטורעפֿעס,
מטושטש,מעטושטעש,
מטיב,מייטעוו,
מטיל־אימה,מאַטל־איימע,
מטיף,מאַטעף,
מטיפים,מאַטיפֿים,
מטלטלים,מעטאַלטעלים,
מטמא,מעטאַמע,
מטמון,מאַטמען,
מטמונים,מאַטמוינים,
מטעים,מאַטעם,
מטעמים,מאַטאַמים,
מטפל,מעטאַפּל,
מטריח,מאַטריִעך,"""שניר זײַנען צוגעקומען פון פארשיידענער פרוכפּערקײַט, אויך איידעמס אלערליי, אלץ נײַע קויכעס, ביז די שכיינים פון הויף האָבן זיך געמוזט מאטריִעך זײַן."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 5."
מי־יודע,מי־דייע,
מי־רגלים,מיי־ראַגלאַיִם,
מי־שברך,מי־שעביירעך,
מיאוס,מיִעס,
מיאוס־ומאוס,מיִעס־אומאָעס,
מיאש,מעיאַעש,
מיבם,מעיאַבעם,
מיד־ליד,מיִיאַד־לעיאַד,
מידבר (אָדער אַמאָל מדבר),מידבער,
מידבריות (אָדער אַמאָל מדבריות),מידבאָריעס,
מידה (אָדער אַמאָל מדה),מידע,
מידות (אָדער אַמאָל מדות),מידעס,
מידה־טובה,מידע־טויווע,
מידות־טובות,מידעס־טויוועס,
מידת־הדין,מידעס־האַדין,
מידת־הרחמים,מידעס־האָראַכמים,
מידה כנגד מידה,מידע קענעגעד מידע,
מידה־מגונה,מידע־מעגונע,
מידות־מגונות,מידעס־מעגונעס,
מידה־רעה,מידע־ראָע,
מידות־רעות,מידעס־ראָעס,
מיוחס,מעיוכעס,
מיוחסים,מעיוכאָסים,
מיוחסת,מעיוכעסעס,
מיושב,מעיושעוו,
מיזמור (אָדער אַמאָל מזמור),מיזמער,
מיזמורים,מיזמוירים,
מיזרח (אָדער אַמאָל מזרח),מיזרעך,
מיזרחים,מיזראָכים,
מיחד,מעיאַכעד,
מיחוש,מייכעש,
מיחיה (אָדער אַמאָל מחיה),מיכיע,
מיחיות (אָדער אַמאָל מחיה),מיכיעס,
מיחס,מעיאַכעס,
מיטה (אָדער אַמאָל מטה),מיטע,
מיטות (אָדער אַמאָל מטות),מיטעס,
מייסד (אָדער אַמאָל מיסד),מעיאַסעד,
מייסדים (אָדער אַמאָל מיסדים),מעיאַזדים,
מיישב (אָדער אַמאָל מישב),מעיאַשעוו,
מיכשול (אָדער אַמאָל מכשול),מיכשל,
מיכשולים,מיכשוילים,
מיכתב (אָדער אַמאָל מכתב),מיכטעוו,
מיכתבים,מיכטאָווים,
מילא,מיילע,
מילה,מילע,
מילתא־דבדיחותא (אָדער אַמאָל מלתא־דבדיחותא),מילסע־דיבדיכעסע,
מילי־דבדיחותא,מילע־דיבדיכעסע,
מילי־דעלמא,מילע־דעאַלמע,
מים,מאַייִם,
מים־אחרונים,מאַייִם־אַכרוינים,
מים־חיים,מאַייִם־כאַייִם,
מים־ראשונים,מאַייִם־רישוינים,
מים־שלנו,מאַייִם־שעלאָנו,
מימרא (אָדער אַמאָל ממרא),מעמרע,
מימרות (אָדער אַמאָל ממרות),מעמרעס,
מין,מין,
מינים,מינים,
מיני,מינע,
מינהג (אָדער אַמאָל מנהג),מינעג,
מינהגים (אָדער אַמאָל מנהגים),מינהאָגים,
מינהג־העולם (אָדער אַמאָל מנהג־העולם),מינעג־האָוילעם,
מינחה (אָדער אַמאָל מנחה),מינכע,
מיסחר (אָדער אַמאָל מסחר),מיסכער,
מיסחרים (אָדער אַמאָל מסחרים),מיסכאָרים,
מיספר,מיספּער,
מיספרים,מיספּאָרים,
מיעוט,מיִעט,
מיעוטים,מיִוטים,
מיעץ,מעיאַעץ,
מיצווה (אָדער אַמאָל מצווה אָדער מצוה),מיצווע,
מיצוות,מיצוועס,
מיצר,מייצער,
מיצרי (אָדער אַמאָל מצרי),מיצרי,
מיצרים (אָדער אַמאָל מצרים),מיצרים,
מיצרים (אָדער אַמאָל מצרים),מיצראַיִם,
מיצרית,מיצריס,
מיצריות,מיצריִעס,
מיקדש,מיגדעש,
מיקווה (אָדער אַמאָל מקווה),מיקווע,
מיקוואות,מיקוואָעס,
מיקלט,מיקלעט,
מיקלטים,מיקלאָטים,
מיקצת,מיקצעס,
מיקצת־מן־המיקצת (אָדער אַמאָל מקצת־מן־המקצת),מיקצעס־מין־אַמיקצעס,
מיקרה (אָדער אַמאָל מקרה),מיקרע,
מישכב,מישקעוו,
מישכב־זכר (אָדער אַמאָל משכב־זכר),מישקעוו־זאָכער,
מישכן (אָדער אַמאָל משכן),מישקן,
מישלי (אָדער אַמאָל משלי),מישלע,
מישמר (אָדער אַמאָל משמר),מישמער,
מישמרים,מישמאָרים,
מישנה (אָדער אַמאָל משנה),מישנע,
מישנות,מישנעס,
מישפט (אָדער אַמאָל משפט),מישפּעט,
מישפטים,מישפּאָטים,
מישקל (אָדער אַמאָל משקל),מישקל,
מישקלים,מישקאָלים,
מיתה,מיסע,
מיתות,מיסעס,
מיתה־משונה,מיסע־מעשונע,
מיתר,מעיאַטער,
מכבד,מעכאַבעד,
מכבי,מאַקאַבי,
מכבים,מאַקאַבים,
מכביד,מאַכבעד,
מכה,מאַקע,
מכות,מאַקעס,
מכות־רצח,מאַקעס־רעצעך,
מכת־מדינה,מאַקעס־מעדינע,
מכובד,מעכובעד,
מכובדים,מעכובאָדים,
מכוון,מעכאַוון,
מכוח,מיקויעך,
מכולה,מעכולע,
מכוער,מעכויער,
מכוערת,מעכוערעס,
מכורעת,מעכוראַס,
מכחיש,מאַקכעש,
מכין,מייכן,
מכיר־טובה,מאַקער־טויווע,
מכירי־טובה,מאַקירע־טויווע,
מכירה,מעכירע,
מכירות,מעכירעס,
מכירת־חמץ,מעכירעס־כאָמעץ,
מכירת־יוסף,מעכירעס־יויסעף,
מכל־המינים,מיקאָל־האַמינים,
מכל־טוב,מיקאָל־טוּוו,
מכל־שכן,מיקאָל־שקן,
מכלומר (געניצט אין דעם ייִדישן וואָרט מכלומרשט),מיקלוימער,
מכמה,מיקאַמע,
מכניס־אורח,מאַכנעס־אוירעך,
מכניסי־אורחים,מאַכניסע־אָרכים,
מכניע,מאַכניִע,
מכנסים,מיכנעסאַיִם,
מכס,מעכעס,
מכפר,מעכאַפּער,
מכריז,מאַכרעז,
מכריז־ומודיע,מאַכרעז־אומוידיִע,
מכריע,מאַכריִע,
מכשיל,מאַכשל,
מכשיר,מאַכשער,
מכשירים,מאַכשירים,
מכשף,מעכאַשעף,
מכשפים,מעכאַשפֿים,
מכשפה,מאַכשייפֿע,
מכשפות,מאַכשייפֿעס,
מל,מאַל,
מלא,מאָלע,
מלא־גדולה,מאָלע־געדולע,
מלא־גזלן,מאָלע־גאַזלען,
מלא־וגדוש,מאָלע־וועגאָדעש,
מלא־חמה,מאָלע־כיימע,
מלא־חן,מאָלע־כיין,
מלא־טעם,מאָלע־טאַם,
מלא־כעס,מאָלע־קאַאַס,
מלא־קומתו,מלוי־קוימאָסע,
מלא־רציחה,מאָלע־רעציכע,
מלא־שימחה,מאָלע־סימכע,
מלאך,מאַלעך,
מלאכים,מאַלאָכים,
מלאך־דומה,מאַלעך־דוימע,
מלאך־המוות,מאַלעך־אַמאָוועס,
מלאך־חבלה,מאַלעך־כאַבאָלע,
מלאכי־חבלה,מאַלאַכע־כאַבאָלע,
מלאכי־השרת,מאַלאַכע־האַשאָרעס,
מלאכים־כתב,מאַלאָכים־קסאַוו,
מלאכה,מעלאָכע (אָדער אַמאָל מלאָכע אַז געניצט אין דעם ייִדישן ווערב מלאָכהנען אָדער אַמאָל מלאכהן),
מלאכות,מעלאָכעס,
מלאפום (אָדער אַמאָל מלופן),מעלופּם,
