Base,Romanized,Yiddish,Gloss,Definition
,,"מנקד [מענאקעד] זיין* (מנקד געווע^ן)
",,снабжать еврейские буквы гласными
,,מנקר [מענאקער] מ ־ים [מענאקרים],,"тот,"
,,"מנשק [מענאשעק] זיין* (מנשק געווע^ן)
",,целовать
,,מס [מאס] מ ־ים,,1. налог
,,"מסביר [מאסבער] זיין* (מסביר געווע^ן)
",,"объяснять, разъяснять, растолковывать"
,,"מסדר [מעסאדער] זיין* (מסדר געווע^ן)
",,"приводить в порядок, упорядочивать;"
,,מסדר־קידושין [מעסאדער־ק(י)דו^שן] מ,,евр.
,,מסדר־קידושין [מעסאדער־ק(י)דו^שן] זיין* (מסדר־קידושין געווע^ן),,евр. проводить
,,מסוגל [מעסוגל] א פּרעד. (צו אינפ.),,"способный,"
,,מסוכּן [מעסוק_ן] 1. א,,1. опасный
,,"אַ מסוכּנ׀ער [מעסו^קענער] פראָסט
",,дьявольский мороз
,,מסוכּן [מעסוקן] 2. אדוו.,,1. опасно
,,ער איז מסוכּן קראַנק,,он опасно/тяжело
,,איך בין מסוכּן מיד,,я страшно/чертовски
,,מסוכּן פאַרלי^בט,,безумно влюблённый
,,מסופּק [מעסופּעק] א פּרעד.,,"сомневающийся,"
,,מסופּקדיק [מעסו^פּעקדיק] א,,"сомнительный,"
,,"מסור [מאָסער] מ (מצ. מוסרים [מאָסרים])
",,"доносчик; ябеда, ябедник"
,,"מסורה [מעסוירע] וו (מצ. מסורות)
",,1. сказание; предание
,,"מסחר מ ־ים זען מיסחר
",,מסיבה [מעסיבע] וו (מצ. מסיבות)
,,"מסיג־גבול זיין* (מסיג־גבול געווע^ן)
",,זען משׂיג־גבול זיין
,,"מסיח־דעת [מעסיִעך־דא^אס] זיין*
",,"(מסיח־דעת געווע^ן) פון	отвлекаться,"
,,"מסיים [מעסייעם] זיין* (מסיים געווע^ן)
",,"оканчивать, завершать"
,,"מסייע [מעסייע] זיין* (מסייע געווע^ן)
",,"книжн. помогать, содействовать"
,,"מסיכתּא [מעסיכטע] וו (מצ. מסיכתּות)
",,זען מסכתּא
,,מסירה [מעסירע] וו (מצ. מסירות),,донос
,,"מסירניק [מאסירניק] מ ־עס זען מאַסירניק
",,מסירת־מודעה [מעסירעס־מוידאָ^ע] וו
,,"מסירת־נפש [מעסירעס־נע^פעש] ז
",,"самоотверженность,"
,,"מסירת־נפשדיק [מעסירעס־נע^פעשדיק]
",,"א, אדוו.	самоотверженный, беззаветный,"
,,"מסית־ומדיח [מייסעס־אומעדיִ^עך] מ
",,подстрекатель
,,מסכּים [מאסקעם] 1. א פּרעד.,,согласный
,,מסכּים [מאסקעם] 2. אינט.,,"согласен, ладно,"
,,"מסכּים [מאסקעם] זיין (מסכּים געווע^ן)
",,"(אויף, אינפ.)	быть согласным,"
,,איך בין מסכּים אויף דעם אָפּמאַך,,я
,,ער איז מסכּים געווע^ן צו טרעפן זיך,,он
,,l מסכּים זיין (מיט),,"быть согласным,"
,,"מסכּים זיין מיט די אוי^ספירן פון דער
",,קאָמיסיע	согласиться с выводами
,,איך בין מיט אייך ניט מסכּים,,я с вами
,,מסכתּא [מעסעכטע] וו (מצ. מסכתּות),,трактат
,,"מסלק [מעסאלעק] זיין* (מסלק געווע^ן)
",,"платить, уплачивать (долг)"
,,"מספּיד [מאספּעד] זיין* (מספּיד געווע^ן) (אק.)
",,говорить надгробное слово о ком-л.
,,"מספּיק [מאספּעק] זיין* (מספּיק געווע^ן)
",,"книжн. доставать, хватать, быть"
,,מסקנא [מאסקאָנע] וו (מצ. מסקנות),,"вывод,"
,,"מסריח [מאסריִעך] זיין* (מסריח געווע^ן)
",,"дурно пахнуть, вонять"
,,"מסר׀ן [מא^סערן] (געמסרט [געמאסערט]) (אק.,
",,"אויף) доносить, делать донос, жаловаться,"
,,"מסרס [מעסארעס] זיין* (מסרס געווע^ן)
",,"кастрировать, оскоплять, холостить"
,,"מסתּמא [מיסטאַ^מ(ע), מיסטאָמע] אדוו.
",,"наверно(е), по-видимому, очевидно,"
,,"מסתּפּק־במועט [מיסטאפּעק־בעמו^עט] מ
",,"(מצ. מסתּפּקים־ [מיסטאפּקים־])	тот, кто"
,,"מע ¹ פּראָנ. זען מען
",,"מע ² (מ)	бе, ме (подражание блеянию)"
,,מע ³ אינט.,,1) будь что будет!
,,"מעבל מצ., ז =",,"мебель; меблировка,"
,,מעבליר׀ן (מעבלי^רט),,меблировать
,,מעבר־לים [מעייווער־לעיא^ם] אדוו.,,за морем
,,מעגאַפאָ^ן מ ־ען,,"мегафон, рупор"
,,מעגלעך א,,возможный
,,מעגלעך אַז,,"возможно, что..."
,,מע^גלעכקייט וו ־ן,,возможность
,,"מעג׀ן* (ער מעג; געמע^גט) (+ אינפ.)
",,(не употребляется с отрицанием)
,,"ער מעג אַווע^קפאָרן, ווען ער וועט וועלן
",,"он может уехать, когда захочет"
,,איך מעג אַריי^נגייןЯ,,я могу войти/
,,מעגן [מעאגן] זיין* (מעגן געווע^ן),,евр.
,,"מעגע, מעגעגע וו, מ ־ס",,1. бездельник
,,"מע^געלע ז ־ך דימ. 2 זען מאָגן
",,מע^גענער מצ. זען מאָגן
,,מעד מ,,мёд (хмельной напиток)
,,מעדאַ^ל מ ־ן,,медаль
,,מעדאַליאָ^ן [льё] מ ־ען,,медальон
,,מעדיצי^ן 1. וו,,медицина
,,מעדיציניש א,,медицинский; врачебный;
,,מעדיקאַמע^נט מ ־ן,,медикамент
,,מע^דיקער מ ־ס (וו ־ין),,медик
,,"מעדני־מלך [מיידאנע־מיי^לעך] מצ.
",,"деликатесы, лакомства"
,,"מע^דניצע וו ־ס זען מיעדניצע
",,מעוברת [מ(ע)ובערעס] א	беременная
,,מעווע וו ־ס,,чайка
,,"מעור אחד [מעוי^ר עכעד] א פּרעד.
",,"одинаковый, однотипный"
,,אַלע זיינען ביי אים מעור אחד,,он стрижёт
,,מעות [מאָעס] מצ.,,разг. деньги
,,"מעות־חיטים [מאָעס־כי^טים], מעות־חיטין
",,[־כי^טן] מצ.	пожертвование для бедных
,,מעזשע וו ־ס,,"1. межа, граница"
,,מעטאָ^ד מ ־ן,,"метод; приём, способ"
,,מעטאָדאָלאָגיע וו ־ס,,методология
,,מעטאָדי^סט מ ־ן,,методист
,,מעטאָדיק וו ־עס,,методика
,,מעטאָדיש א,,1. методический
,,"מעטאָדע וו ־ס זען מעטאָד
",,מעטאַ^ל מ ־ן	металл
,,מעטאַלגעלט ז,,металлические деньги;
,,מעטאַלורגיע וו,,металлургия
,,מעטאַל_ן א,,металлический
,,מעטאַמאָרפאָ^ז מ ־ן,,метаморфоза;
,,מעטאַפאָ^ר מ ־ן,,метафора
,,מעטאַפאָריש א,,метафорический
,,מעטאַפיזיק וו,,метафизика
,,מע^טיצע וו,,сор (подметаемый)
,,מעטלע וו ־ס,,метла
,,מעטעאָ^ר מ ־ן,,метеор
,,מעטעאָראָלאָגיע וו,,метеорология
,,מעטע^ליצע וו ־ס,,"вьюга, метель,"
,,מעטער מ ־ס,,метр
,,מעטראַנפּאַ^זש מ ־ן,,метранпаж
,,מעטראָפּאָליע [лье] וו ־ס,,"метрополия,"
,,מעטשע^ט מ ־ן,,мечеть
,,"מעיד [מיייִד] זיין* (מעיד געווע^ן) (אויף)
",,"свидетельствовать, давать свидетельские"
,,מעכאניזיר׀ן (מעכאניזי^רט),,механизировать
,,מעכאַניק 1. וו,,механика
,,מעכאַניק 2. מ ־עס,,механик
,,מעכאַ^ניקער מ ־ס (וו ־ין),,механик
,,מעכאַניש 1. א,,1. механический
,,מעכּב־הקריאה [מעאקעוו־האקריִ^ע] זיין* (מעכּב־הקריאה געווע^ן),,прерывать чтение
,,"מעכּב [מעאקעוו] זיין* (מעכּב געווע^ן)
",,"мешать, препятствовать чему-л.,"
,,מעכטיק א,,"1. мощный, сильный, могучий;"
,,"מעל וו, ז",,мука^
,,מעלאָדיע [дье] וו ־ס,,мелодия
,,מעלאָדיש א,,1. мелодический
,,מעלאָדראַמע וו ־ס,,мелодрама
,,מעלאָ^ן מ ־ען,,дыня
,,מעלאַנכאָליע [лье] וו,,меланхолия
,,מעלאַנכאָ^ליקער מ =,,меланхолик
,,מעלאַנכאָליש א,,меланхолический
,,מעלדונג וו ־ען,,объявление; сообщение;
,,"מעלד׀ן (געמאָלדן, געמע^לדט)",,объявлять;
,,מעלדן מלחמה [מילכאָמע] דאט.,,объявить
,,l מעלדן זיך,,"являться, представать"
,,מעלדן זיך צום גערי^כט,,"явиться в суд,"
,,"מע^לדעווע׀ן (געמע^לדעוועט) זען מעלדן
",,"מעלה [מיילע] וו (מצ. מעלות)	1. качество,"
,,האַלט׀ן זיך אין דער מעלה,,вести себя
,,"מעלה־גירה׀ן [מאל(ע)גיירען]
",,((גע)מעלה־גירהט [(גע)מאל(ע)גיירעט])
,,"מעלה [מיילע] זיין* (מעלה געווע^ן)
",,"1. поднимать, возвышать, возносить"
,,"דאָס איז ניט מעלה און ניט מוריד [מוירעד]
",,это ничего не меняет
,,"מעלים [מיילעם] זיין* (מעלים געווע^ן)
",,"скрывать, утаивать"
,,מעל_ן ¹ א (בלויז אטריב. פ. מע^לענ׀ער),,мучной
,,"מעלן ² (געמע^לט) זען מאָלן ¹
",,מעלעץ מ זען מעלצוקער
,,"מעלער ¹ מ =, ־ס",,"художник, живописец"
,,"מעלער ² מ =, ־ס",,торговец мукой
,,מע^לצוקער מ,,сахарный песок
,,מעלק וו ־ן,,"молочная ферма, молочное"
,,מעלק׀ן (געמאָלקן),,доить
,,מעלקן זיך,,доиться; давать молоко
,,מע^לקעדיק א,,"молочная, дойная"
,,מעלקעדיק׀ע קו,,молочная/дойная корова
,,מע^לקשעפל ז ־עך,,подойник
,,מעלתו [מיילאָסוי] העפל. מ,,его
,,מעמאָראַנדום מ ־ס,,меморандум; памятная
,,מעמאָריאַ^ל מ ־ן,,1. мемориал
,,מעמבראַ^ן וו ־ען,,мембрана
,,מעמד [מיימעד] מ,,"1. положение,"
,,מעמדות [מיימאָדעס] מצ.,,1. отрывки
,,מעמואַרן מצ.,,"мемуары, воспоминания,"
,,מען פּראָנ.,,", מע (перед глаголом тж."
,,"מע(ן) זאָגט, מ'זאָגט",,говорят
,,אַזוי^ עפנט מען דאָס,,"это открывают так,"
,,דעם פילם זעט מען מיט אינטערע^ס,,фильм
,,ווי מע זאָל ניט פּרוּוון,,как ни пытайся
,,וואָס מאַכט מעןЯ,,"как поживаешьЯ,"
,,מענאַזשעריע וו ־ס,,зверинец
,,"מענאַרקע וו ־ס זען מאַרינאַרקע
",,מענדל ז ־עך	крючок (для застёгивания)
,,מענדל און ווייבל,,крючок и петелька
,,"מע^נדעלע ז ־ך דימ. זען מאַן
",,מענה־לשון [מיי^נעלאָשן] ז 1. «¾тветная
,,"מענוסע וו ־ס זען מנוסע
",,"מענטאַליטע^ט וו	менталитет, склад ума"
,,מענטאָר מ ־ס,,"наставник, руководитель,"
,,מענטע ¹ וו,,мята
,,מענטע ² מ ־ס,,жарг. полицейский
,,מע^נטעלע ז ־ך (דימ. 2 פון מאַנטל),,чехол
,,"מענטש מ ־ן (דאט., אק. מענטש(ן); פּאָס.
",,"מענטשנס)	1. человек; мн. люди,"
,,די גאַסן זיינען פול מיט מענטשן,,улицы
,,דער מין מענטש,,"род людской,"
,,זיין* אַ מענטש,,тж. вести себя достойно
,,ווער׀ן אַ מענטש,,"остепениться,"
,,ווי אַ מענטש,,"прилично,"
,,ווער׀ן/זיין* אוי^ס מענטש,,"опуститься,"
,,מענטשהייט וו,,человечество
,,מענטשיש א,,человеческий
,,מענטשלעך 1. א,,1. человеческий
,,מענטשלעך 2. אדוו.,,человечно;
,,מע^נטשלעכקייט וו,,"гуманность,"
,,"מענטשל׀ען זיך (געמענטשלט זיך),
",,מענטש׀ן זיך (געמע^נטשט זיך)	овладевать
,,מע^נטשנפיינד מ =,,человеконенавистник
,,מע^נטשנפריינד מ =,,гуманист
,,מע^נטשן־פרעסער מ ־ס (וו ־קע),,людоед
,,"מענטשע׀ן (געמענטשעט) זען מוטשען
",,מעניו^ [ню] מ ־ען	меню
,,"מעניני־דיומא [מעיִניאָנע־דעיוי^מע] אדוו.
",,"на злободневную тему, на злобу дня"
,,מעניש א,,"1. мужской, мужественный"
,,מענלעך א,,"1. мужской, мужественный"
,,מענלעכ׀ער מין,,мужской род
,,מענסטרואַציע וו,,менструация
,,מענסקע א,,мужской (предназначенный
,,"מענער מצ. זען מאַן
",,"מע^נעריש א	мужской (такой, как у"
,,מענערש א,,мужской (относящийся
,,"מענש [מעאנעש] זיין* (מענש געווע^ן)
",,"наказывать, карать; штрафовать,"
,,מעסט וו ־ן,,мера (зерна)
,,מעסטונג וו ־ען,,измерение; обмер
,,מעסטל ז ־עך (דימ. פון מעסט),,мер(к)а
,,מעסט׀ן (געמאָסטן),,1. измерять
,,"2.:
",,געב׀ן* אַ מעסט אָפּ מיטן אויג	смерить
,,"מעסיק א, אדוו.",,умеренный; умеренно
,,מע^סיקייט וו,,умеренность
,,מעסע וו ־ס,,"литургия, (у католиков"
,,"מעסער מ, ז ־ס",,нож
,,אויף מעסערס מיט,,на ножах с кем-л.
,,מע^סערל ז ־עך (דימ. פון מעסער),,тж.
,,"מע^סערשטעך:
",,אויף מעסערשטעך מיט	на ножах с кем-л.
,,מעצאָצע וו ־ס,,удачная находка; чудо
,,מעצענאַ^ט מ ־ן,,меценат
,,מעקלער מ ־ס (וו ־קע),,"маклер, посредник"
,,מעקלעריי^ ז,,"1. маклерство,"
,,מעק׀ן (געמע^קט),,"стирать (написанное,"
,,מעקסיקאַניש א,,мексиканский
,,מעקסיקאַנער מ = (וו ־ין),,мексиканец
,,מע^קסיקע אג''נ וו,,¼ексика
,,מע^קעלע ז ־ך,,"дурак, глупец"
,,מעקע׀ן (געמעקעט),,блеять
,,מע^קענע וו,,мякина
,,מעקער מ ־ס,,резинка (для стирания)
,,"מעקר׀ן [מיי^קערן] (געמעקרט [געמייקערט])
",,переворачивать вверх дном
,,"מער ¹ א אינוו., אדוו.",,больше
,,איך פאַרדי^ן מער ווי דו,,я зарабатываю
,,ער וויל מער געלט,,он хочет больше/ещё
,,דו זאָלסט מער ליי^ענען,,ты должен
,,מער ניט,,"больше не, уже не"
,,ניט מער (ווי),,"не больше чем; только,"
,,נאָך מער,,больше/более того; мало того
,,צום מערסטן,,больше всего/всех;
,,"מער ² וו, מ ־ן",,"морковь, морковка;"
,,"מער ³ :
",,וואָס איז דער מערЯ	в чём делоЯ
,,עפּעס איז דער מער מיט,,что-то не так/
,,וואָס איז דער מער מיט..Я,,что
,,מערב [מיירעוו] מ,,1. запад (страна
,,מערב צו,,к западу
,,"מערב־ [מיי^רעוו־] זען מערבדיק
",,מערבדיק [מיי^רעוודיק] א	западный
,,"מערדער מ =, ־ס",,убийца
,,מערדעריי^ וו ־ען,,"1. злодейство,"
,,מע^רדערלעך א,,"смертоносный,"
,,מערה [מעאָרע] וו (מצ. מערות),,пещера
,,מערהייט וו ־ן,,"бо^льшая часть, основная"
,,מער־וויי^ניק(ער) אדוו.,,более или менее
,,מערווערט מ,,эк. прибавочная стоимость
,,מערזשער מ ־ס,,ступ(к)а
,,מעריב [מיירעוו] מ,,маарив – вечерняя
,,מערידאַלניק מ ־עס,,"человек, страдающий"
,,מערידיאַ^ן [дья] מ ־ען,,меридиан
,,מערידן מצ.,,геморрой
,,מעריטורע וו,,"отставка, пенсия"
,,מערין מ ־עס,,мерин
,,"מע^רישקע וו ־ס זען מוראַשקע
",,"מערכה [מאראָכע] וו (מצ. מערכות)	1. судьба,"
,,אַ גוט׀ע מערכה,,счастливый случай;
,,מערלע וו,,газ (ткань); кисея; марля
,,"מערמל ¹ מ ־ען זען מורמל
",,"מערמל ² , מערמלשטיין מ זען מירמלשטיין"
,,מער׀ן (געמע^רט),,1. увеличивать
,,מערני(ש)ט 1. אדוו.,,"только, лишь"
,,מערני(ש)ט 2. בינדוו.,,"но, однако, только"
,,מערסטנס אדוו.,,"в большинстве случаев,"
,,מערסטע א אינוו.,,"большинство кого-л.,"
,,מערעזשע וו ־ס,,1. штопка (заштопанное
,,מערעזשע׀ן (מערעזשעט),,штопать
,,"מערער א אינוו., אדוו. זען מער ¹
",,מע^רערע א אינוו.	многие
,,"מערץ מ ־ן זען מאַרץ
",,מערצאָל וו ־ן	грам. множественное число
,,"מערק מצ. זען מאַרק ¹
",,"מע^רקווירדיק, מע^רקווערדיק 1. א"
,,"מע^רקווירדיק, מע^רקווערדיק 2. אדוו.
",,замечательно
,,מערקו^ר אג''נ מ,,¼еркурий
,,מערק׀ן (געמע^רקט),,"видеть, замечать,"
,,"מערשאָם, מערשוים מ",,мин. (морская)
,,"מע^רשעלע ז ־ך דימ. זען מאָרש
",,מערת־המכפּלה [מעאָרעס־האמאכפּיי^לע] וו
,,"מערת־פּריצים [מעאָרעס־פּרי^צים] וו
",,разбойничье гнездо; (разбойничий)
,,מעש ז,,латунь; жёлтая медь
,,מעשאָנזשניק מ ־עס,,медник
,,"מעשׂה [מייסע] 1. וו (מצ. מעשׂיות [מייסעס])
",,"1. рассказ, повесть, история"
,,וואָס איז די מעשׂהЯ,,"в чём делоЯ,"
,,וואָס איז די מעשׂה מיט..Я,,что
,,וואָס איז די מעשׂה וואָס/אַז..Я,,почему
,,נאָך דער מעשׂה,,"после того, после"
,,ווי די מעשׂה איז,,будь что будет
,,קיין מעשׂה ניט,,"довольно хорошо,"
,,אַ שיינע מעשׂה!,,"вот так история/штука!,"
,,געהע^רט/הערסט אַ מעשׂה!,,удивительное
,,כאַפּ׀ן בעת [בייס] דער מעשׂה,,заставать/
,,"4.:
",,אָ^נ׀טאָ׀ן* זיך אַ מעשׂה	покончить с собой;
,,מעשׂה 2. בינדוו.,,"как, будто, словно;"
,,מעשׂה גנב [גאנעף],,будто вор
,,מעשׂה סוחר [סויכער],,"серьёзно,"
,,מעשׂה־ביכל [מיי^סע־] ז ־עך,,сборник
,,"מעשׂה־בראשית [מייסע־בריי^שעס] וו
",,сотворение мира; история сотворения
,,"מעשׂהלע [מיי^סעלע] ז ־ך (דימ. פון מעשׂה)
",,тж. волшебная сказка
,,"מעשׂה־ניסים [מייסע־ני^סים] וו
",,фантастическая/неправдоподобная
,,"מעשׂה־סדום [מייסע־סדאָ^ם] וו
",,"(מצ. מעשׂי־ [מייסע־])	крайняя жестокость,"
,,מעשׂה־רע [מייסערא^] וו (מצ. מעשׂים־רעים [מייסים־ראָ^יִם]),,дурной поступок;
,,"מעשׂה־שהיה [מייסע־שעהאָ^יע] וו ־ס
",,"реальное событие, подлинная история;"
,,מעשׂה־שׂטן [מייסע־סאָ^טן] אדוו.,,"как назло,"
,,מעשטע וו ־ס,,домашняя туфля
,,מעשׂים [מייסים] מצ.,,"дела, действия,"
,,"מע שאַצט אַ מענטשן לויט זיינע מעשׂים
",,о человеке судят по его делам
,,"מעשׂים אַשר לא יעשׂו [מייסים אשער לוי
",,"יעאָסו] מצ.	возмутительные дела,"
,,מעשׂים־טובים [מייסים־טוי^ווים] מצ.,,добрые
,,"מעשׂים־רעים מצ. זען מעשׂה־רע
",,מעשׂים־תּעתּועים [מייסים־טאאטו^יִם] מצ.
,,מעש_ן א,,латунный; медный
,,מעשׂר [מייסער] מ ־ות [מייסרעס],,ист.
,,"מעשׂר׀ן [מיי^סערן] (געמעשׂרט [געמייסערט])
",,ист. отделять десятую часть чего-л.
,,"מעתּיק [מייטעק] מ ־ים [מאטיקים]
",,переводчик
,,"מעתּיק [מייטעק] זיין* (מעתּיק געווע^ן)
",,переводить (на другой язык)
,,"מעת־לעת [מעסלע^ס] מ, ז ־ן",,сутки
,,מפּה [מאפּע] וו (מצ. מפּות),,расшитая
,,"מפּיל [מאפּל] זיין* (מפּיל געווע^ן) זען מפּלען
",,מפּילע [מא^פּעלע] ז ־ך	1. рождённый
,,מפּיל־קינד [מא^פּל־] ז ־ער,,рождённый
,,"מפּלה [מאפּאָלע] וו (מצ. מפּלות)
",,1. поражение; разгром
,,דערלאַנג׀ען אַ מפּלה,,нанести поражение
,,"מפּלהניק [מאפּאָ^לעניק] מ ־עס (וו ..ניצע)
",,пораженец
,,"מפּל׀ען [מאפּלען] (געמפּלט [געמאפּלט])
",,"разрешаться от бремени выкидышем,"
,,"מפולפּל [מעפולפּל] מ ־ים [מעפולפּאָלים]
",,человек острого ума
,,מפוניצע [מעפו^ניצע] וו ־ס,,"изнеженная,"
,,"מפונק [מעפונעק] מ ־ים [מעפונאָקים]
",,"изнеженный, избалованный человек,"
,,"מפורסם [מעפורסעם] מ ־ים [מעפורסאָמים]
",,"знаменитый человек, знаменитость"
,,מפורסמת [מעפורסעמעס] וו ־ן,,знаменитая
,,מפורש [מעפוירעש] אדוו.,,"ясно, точно,"
,,מפטיר [מאפטער] מ ־ס,,мафтир –
,,זיך (איי^נ׀)קויפ׀ן מפטיר,,попасть
,,"מפייס [מעפייעס] זיין* (מפייס געווע^ן)
",,"успокаивать, умиротворять"
,,"מפליג [מאפלעג] זיין* (מפליג געווע^ן)
",,преувеличивать (обычно о неумеренных
,,"מפלפּל [מעפאלפּל] זיין* זיך (זיך מפלפּל
",,געווע^ן)	вести схоластический спор
,,"מפסיק [מאפסעק] זיין* (מפסיק געווע^ן)
",,"прерывать (какое-л. действие,"
,,"מפצה [מעפאצע] זיין* (מפצה געווע^ן)
",,"возмещать убытки, компенсировать;"
,,"מפציר [מאפצער] זיין* (מפציר געווע^ן)
",,"умолять, упрашивать"
,,"מפקיר [מאפקער] זיין* (מפקיר געווע^ן)
",,"забрасывать, оставлять на произвол"
,,מפקיר זיין זיך,,жертвовать собой
,,"מפרנס [מעפארנעס] זיין* (מפרנס געווע^ן)
",,"кормить, содержать кого-л."
,,מפרנס זיין זיך,,"кормиться, зарабатывать"
,,"מפרסם [מעפארסעם] זיין* (מפרסם געווע^ן)
",,"объявлять для всеобщего сведения,"
,,מפרש [מעפארעש] מ ־ים [מעפאָרשים],,евр.
,,מפרש [מעפארעש] זיין* (מפרש געווע^ן),,евр.
,,"מפתּח [מאפטייעך] (מצ. מפתּחות [מאפטייכעס])
",,"индекс, указатель (в книге)"
,,"מצאָצה וו ־ס זען מעצאָצע
",,"מצב [מאצעוו] מ	положение, состояние"
,,מצבה [מאצייווע] וו (מצ. מצבות),,надгробный
,,מצד [מיצא^ד] פּרעפּ.,,со стороны
,,"קרובישאַפט [קרוי^ווישאפט] מצד
",,דעם פאָטער/דער מוטער	родство
,,"מצדיק [מאצדעק] זיין* (מצדיק געווע^ן)
",,"оправдывать, признавать справедливым"
,,"מצה־בעקער [מא^צע־בעקער] מ =, ־ס
",,"пекарь, изготовляющий мацу"
,,"מצה־וואַסער [מא^צע־]:
",,פאַרקויפ׀ן זיך ווי מצה־וואַסער быстро
,,מצה־קניידל [מא^צע־] ז ־עך,,клёцка
,,מצה־רעדל [מא^צע־] ז ־עך,,зубчатое
,,"מצה־שמורה [מאצע־שמו^רע] וו
",,"«охранённая маца» – маца из муки,"
,,"מצו(ו)ה זען מיצווה
",,מצורע [מעצוירע] מ ־ים [מעצויראָיִם]
,,מציאה [מעציִע] וו (מצ. מציאות),,находка;
,,אַ גרויסע/טיי^ערע מציאה!,,эка важность/
,,אַ מציאה פון אַ גנב [גאנעף],,очень
,,מציאות [מעציִעס] ז,,"существование,"
,,מציל [מאצל] זיין* (מציל געווע^ן),,"спасать,"
,,"מצליח [מאצליִעך] זיין* (מצליח געווע^ן)
",,иметь успех; преуспевать
,,זייט מצליח,,желаю вам успеха/удачи
,,"מצמצם [מעצאמצעם] זיין* (מצמצם געווע^ן)
",,"ограничивать, уменьшать;"
,,מצנפת [מיצנעפעס] וו ־ן,,1. тюрбан; шапка
,,"מצער [מעצאער] זיין* (מצער געווע^ן)
",,"огорчать, печалить, сокрушать"
,,מצער זיין זיך,,огорчаться;
,,"מצרי מ ־ם זען מיצרי
",,מצרים [מיצראיִם] אג''נ ז	(древний) µгипет
,,"מצרים־הונט [מיצרא^יִם־] מ ..־הינט
",,небрехливая собака (намёк на слова
,,"מצרף [מעצארעף] זיין (מצרף געווע^ן) (צו)
",,"включать (в число, состав кого-л.,"
,,"מקבל [מעקאבל] מ ־ים [מעקאבלים]
",,"получатель благотворительной помощи,"
,,מקבל־באַהבה [מעקאבל־בעא^(ה)אווע] זיין* (מקבל־באַהבה געווע^ן),,"молча терпеть,"
,,"מקבל [מעקאבל] זיין* (מקבל געווע^ן)
",,получать
,,"מקבל־נחת [מעקאבל־נא^כעס] זיין*
",,(מקבל־נחת געווע^ן)	книжн. получать
,,"מקבל־פּנים [מעקאבל־פּאָ^נעם] זיין*
",,"(מקבל־פּנים געווע^ן)	встречать,"
,,"מקבל־קנין [מעקאבל־קי^ניען] זיין*
",,(מקבל־קנין געווע^ן) подтверждать
,,"מקבל־שבת [מעקאבל־שא^בעס] זיין*
",,(מקבל־שבת געווע^ן)	торжественно
,,"מקבר [מעקאבער] זיין* (מקבר געווע^ן)
",,"евр. хоронить, погребать"
,,"מקדים [מאקדעם] זיין* (מקדים געווע^ן)
",,"опережать, предупреждать,"
,,"מקדיש [מאקדעש] זיין* (מקדיש געווע^ן)
",,посвящать
,,מקדש־השם [מעקאדעש־האשע^ם] זיין* (מקדש־השם געווע^ן),,евр. жертвовать
,,"מקדש [מעקאדעש] זיין* (מקדש געווע^ן)
",,1. освящать
,,"מקדש זיין די לבנה זען מחדש זיין די לבנה
",,אין מחדש זיין
,,מקובל [מעקובל] מ ־ים [מעקובאָלים],,евр.
,,"מקווה וו (מצ. מקוואָות) זען מיקווה
",,מקוים [מעקוּיעם] ווער׀ן (איז מקוים געוואָרן)
,,"מקום [מאָקעם] מ, ז ־ות [מעקוימעס]",,часто
,,l מקומות מצ.,,"места, края"
,,מקום־גייער [מאָ^קעם־גייער] מ ־ס,,"тот, кто"
,,מקום־מיקלט [מאָקעם־מי^קלעט] מ,,"убежище,"
,,"מקום־מנוחה [מאָקעם־מענו^כע] מ
",,"пристанище, приют, убежище"
,,"מקום־קדוש [מאָקעם־קאָ^דעש] מ
",,"евр. молитвенный дом, синагога"
,,מקום־תּורה [מאָקעם־טוי^רע] מ,,"евр. место,"
,,"מקונן [מעקוינען] מ ־ים [מעקאָ^נענים]
",,1. элегический поэт
,,דערוי^ף קלאָגט דער מקונן,,в этом вся
,,"מקור [מאָקער, מעקאָ^ר] מ ־ים [מעקוירים],
",,"־ות [מעקוירעס]	1. источник, исток,"
,,"מקורב [מעקורעוו] מ ־ים [מעקוראָווים]
",,близкий друг; приближённый
,,מקח [מעקעך] מ ־ים [מעקאָכים],,цена
,,"מקח־וממכּר [מעקעך־אומע^מקער] מ
",,"купля-продажа; торговля, коммерция"
,,מקח־טעות [מעקעך־טאָ^עס] מ,,1. покупка
,,"מקטרג [מעקאטרעג] מ ־ים [מעקאטרייגים]
",,(ангел-)обвинитель
,,"מקטרג [מעקאטרעג] זיין* (מקטרג געווע^ן)
",,(אויף)	обвинять
,,"מקיאנ׀ען (געמקיאנט), מקיא׀(נע)ן (געמקיאט)
",,זען מייקענען
,,"מקיים [מעקייעם] זיין* (מקיים געווע^ן)
",,"исполнять, выполнять, осуществлять"
,,"מקיים־פּסק [מעקייעם־פּסא^ק] זיין*
",,(מקיים־פּסק געווע^ן) (דאט.)	1. приводить
,,מקיל [מייקל] מ ־ים [מעקילים],,"тот, кто"
,,"מקל׀ען [מאקלען] (געמקלט [געמאקלט]) (אק.)
",,избивать палкой
,,"מקנא [מעקאנע] זיין* (מקנא געווע^ן) (דאט.)
",,завидовать
,,"ער האָט מיר מקנא געווע^ן אויף מיין
",,דערפאָ^לג	он завидовал моему успеху
