Base,Romanized,Yiddish,Gloss,Definition
,,סטערעאָטי^פּ(יש) א,,стереотипный
,,סטערעאָפאָניש א,,стереофонический
,,סטראַזשאַק מ ־עס,,"уст. дежурный,"
,,סטראַזשניק מ ־עס,,уст. (таможенный)
,,סטראַטאָספע^ר וו,,стратосфера
,,סטראַטאָספעריש א,,стратосферный
,,סטראַטע^ג מ ־ן (וו ־ין),,стратег
,,סטראַטעגיע וו ־ס,,стратегия
,,סטראַטעגיש א,,стратегический
,,סטראַטשע׀ן (געסטראַטשעט),,(напрасно)
,,סטראַך מ ־ן,,"страх, ужас"
,,סטראַכירונג וו,,страхование
,,סטראַכיר׀ן (סטראַכי^רט),,страховать
,,סטראָמפּליע וו ־ס,,сосулька
,,סטראָמקע וו ־ס,,"шип, колючка; щепка;"
,,סטראָנגע וו ־ס,,форель
,,סטראַפּטשע מ ־ס,,стряпчий
,,גאָטס סטראַפּטשע,,"ханжа, святоша"
,,סטראַפּקעס מצ.,,зубцы (стены)
,,סטראָפע וו ־ס,,строфа
,,סטראָקאַטש מ ־עס,,чалая лошадь
,,"סטראָקע וו (מצ. ־ס, סטראָקן)",,петличный
,,סטראַשוניק מ ..נקעס,,угроза
,,סטראַשידלע וו ־ס,,чучело
,,סטראַשנע א,,страшный
,,סטראַשע׀ן (געסטראַשעט) (מיט),,"грозить,"
,,"סטרוזש מ ־ן, ־עס (וו ־קע)",,сторож;
,,סטרוטשע וו ־ס,,стручок
,,סטרוי מ,,"1. строй, порядок, система;"
,,שטיי׀ן* אין סטרוי,,стоять в строю
,,סטרויע׀ן (געסטרויעט),,"1. строить,"
,,סטרונע וו ־ס,,1. струна
,,סטרופּ מ ־עס,,струп
,,סטרופּעוואַטע א,,покрытый струпьями/
,,סטרוקטו^ר וו ־ן,,структура; организация;
,,סטרושקע וו ־ס,,стружка
,,סטרי מ ־ען,,"метод, способ, манера, приём;"
,,כאַפּ׀ן דעם סטרי,,"улавливать, схватывать,"
,,סטריהע וו ־ס,,1. большой нож
,,סטריזשאָן מ ־עס,,стержень (гнойника)
,,סטריכע וו ־ס,,1. соломенная крыша
,,סטרימקע א,,"высокий, стройный"
,,סטרעלקע וו ־ס,,тех. стрелка
,,סטרעמען מ ־עס,,стремя
,,סטרעמפּל ז ־עך,,1. сосулька
,,סי מ ־ען,,си муз.
,,סיבה [סיבע] וו (מצ. סיבות),,1. причина
,,סיבהדיק [סי^בעדיק] א,,причинный
,,סיבי^ר אג''נ ז,,Áибирь
,,סיביריאַ^ק מ ־עס (וו ..אַטשקע),,сибиряк
,,סיבירניק מ ־עס,,преступник (сосланный
,,סיבירער א אינוו.,,сибирский
,,סיגאַרע^ט מ ־ן,,сигарета
,,סיגוף [סיגעף] מ ־ים [סיגופים],,умерщвление
,,סיג־לתּורה [סיאָג־לאטוי^רע] מ,,«ограда
,,סיגנאַטו^ר וו ־ן,,сигнатура
,,סיגנאַ^ל מ ־ן,,сигнал
,,סיגנע וו ־ס,,"знак, примета"
,,סיגנע^ט מ ־ן,,перстень с печаткой
,,סידו^ן מ ־עס,,"ребёнок, (ещё) не умеющий"
,,סי^דעלע וו ־ס,,насест
,,סידעלקע וו ־ס,,игла для вышивания
,,סיוואַק מ ־עס,,лошадь серой масти
,,סיוווּכע וו,,сивуха
,,סיוון [סיוון] מ,,еврейский месяц сиван
,,סיווע א,,"1. сивый, серый (о масти"
,,סיום [סיִעם] מ ־ס,,1. празднование
,,סיטואַציע וו ־ס,,"ситуация; положение,"
,,סי^טניצע וו,,хлеб из просеянной муки
,,סיטנע א,,"из просеянной муки, ситный"
,,סיטע׀ן (געסיטעט),,наматывать на катушку
,,סיטקע וו ־ס,,"1. сеть, сетка"
,,סיטרא־אַחרא [סיטרע־א^כרע] וו,,нечистая
,,סיטש מ ־ן,,сыч
,,סיטשקע וו,,сечка (нарубленная солома)
,,סיי ווי (סיי),,"всё равно, так или иначе;"
,,"דערוואַ^קסענע, סיי קינדער",,все уже
,,"ער לייענט אַלץ: סיי לידער, סיי פּראָזע",,он
,,"סיי גוט, סיי שלעכט",,"хорошо ли, плохо ли"
,,סיידן בינדוו.,,"разве (только), разве что"
,,כ'וועל ווערן קראַנק,,"непременно приеду,"
,,סיים מ ־ען,,сейм
,,סייסמאָגראַ^ף מ ־ן,,сейсмограф
,,סייף מ ־ן,,сейф; несгораемый шкаф
,,סיכסוך [סיכסעך] מ ־ים [סיכסוכים],,"спор,"
,,סילאָגיזם מ ־ען,,"силлогизм,"
,,סילוע^ט מ ־ן,,силуэт
,,סילוק [סילעק] מ,,уплата долга
,,סיליאַרקע וו ־ס,,солонка
,,סיל(י)ע׀ן (געסיל(י)עט),,вдевать нитку
,,סילצע וו ־ס,,силок
,,סימבאָ^ל מ ־ן,,символ
,,סימבאָליש א,,символический
,,סימוליר׀ן (סימולי^רט),,симулировать;
,,"סי^מיניע [не] , סימיע וו",,конопляное семя
,,סימן [סימען] מ ־ים [סימאָנים],,1. знак;
,,גוט׀ער סימן,,"добрый знак, добрая"
,,בייז׀ער סימן,,"дурной знак, дурная"
,,אַ סימן,,доказательством/
,,ווי אַ סימן פון,,в знак чего-л.
,,סימנים פון טרערן,,следы слёз
,,l סימנים מצ.,,евр. яремная вена
,,סימן־טוב [סי^מענטאָוו] מ,,добрый знак;
,,סימן־מובהק [סימען־מוּ^וועק] מ,,явный
,,[קאפּאָרעס],,шутл. совершенно
,,טויג׀ן* אויף סים סאָט כּפּרות,,совершенно
,,סימעטריע וו,,симметрия
,,סימעטריש א,,симметричный
,,סימפּאָזיום [зью] מ ־ס,,симпозиум
,,סימפּאַטיע [тье] וו ־ס (צו),,симпатия;
,,סימפּאַטיש א,,симпатичный
,,סימפּטאָ^ם מ ־ען,,симптом
,,סימפּטאָמאַטיש א,,симптоматичный
,,סימפאָניע [нье] וו ־ס,,симфония
,,סימפאָניש א,,симфонический
,,סינאַגאָגאַ^ל א,,синагогальный
,,סינאַגאָגע וו ־ס,,синагога
,,סינאָ^ד מ ־ן,,синод
,,סינאָני^ם 1. א,,"синонимический,"
,,סינאָני^ם 2. מ ־ען,,синоним
,,סינדיקאַ^ט מ ־ן,,синдикат
,,סינוס מ ־ן,,"мат., анат. синус"
,,סינטאַקטיש א,,синтаксический
,,סינטאַקס מ,,синтаксис
,,סינטע^ז מ ־ן,,синтез
,,סינטעזיר׀ן (סינטעזי^רט),,синтезировать
,,סינטעטיש א,,синтетический
,,סיני [סיניי] אג''נ מ,,Áинай
,,"סיניאַ^ק [ня] , סיניק מ ־עס",,синяк;
,,סינכראָ^ן א,,"синхронный, одновременный"
,,סיסטע^ם וו ־ען,,система
,,סיסטעמאַטיש א,,систематический;
,,סיעניק מ ־עס,,сенник (матрац)
,,סיעראַטשקע [се] וו ־ס,,грубая серая ткань
,,סיפּאַק מ ־עס,,вымогатель; шантажист;
,,סיפּור [סיפּער] מ ־ים [סיפּורים],,"рассказ,"
,,סיפּור־המעשׂה [סיפּער־האמיי^סע] מ,,сюжет;
,,סיפּקע א,,рассыпчатый
,,סיפּקע צרות [צאָרעס],,многочисленные
,,סיפא [סייפע] וו,,"1. конец, заключение"
,,"סיפאָ^ן מ ־ען, ־עס",,сифон
,,סי^פיליס מ,,сифилис
,,סיראָדוּ^י מ,,парное молоко
,,סיראָפּ מ ־ן,,сироп
,,סיריער מ = (וו ־ין),,сириец
,,סיריש א,,сирийский
,,סירכא וו (מצ. סירכות),,1. спайка в лёгком
,,סי^רניקל ז ־עך,,спичка
,,סירקע וו,,сера
,,סיתרי־תּורה [סיסרע־טוי^רע] מצ.,,«тайны
,,אַ סך,,"много, (с исчисляемыми"
,,ניט קיין סך,,"немного, (с исчисляемыми"
,,אַ סך פריִער,,намного раньше; задолго
,,סכאָלאַסטיש א,,схоластический
,,סך־הכּולל [סאך־האקוי^לעל] מ,,"итог, общая"
,,סך־הכּל [ס(א)כאקל] 1. מ ־ען,,итог
,,סכום מ ־ען,,"1. сумма, совокупность"
,,סכיזאָפרעניע [нье] וו,,шизофрения
,,סכך [סכאך] מ,,"ветви хвойных деревьев,"
,,סכך־בוים [סכא^ך־] מ ..ביימער,,общее
,,שטעל׀ן אין (אַ) סכּנה,,подвергать
,,אָן סכּנות,,"не опасно, не страшно"
,,אַ סכּנותדיק׀ע נסיעה [נעסיִע],,опасное
,,מיט סכּנת־נפשות,,"чрезвычайно, ужасно"
,,סכעמאַטיש 1. א,,схематический;
,,סכעמע וו ־ס,,схема
,,סלאַוו מ ־ן,,славянин
,,סלאָוואַ^ק מ ־ן (וו ..אַטשקע),,словак
,,סלאָוואַקיש 1. א,,словацкий
,,סלאָוואַקיש 2. ז,,словацкий язык
,,סלאַוויזם מ ־ען,,славянизм
,,סלאַוויש א,,славянский
,,סלאָוועניש 1. א,,словенский
,,סלאָוועניש 2. ז,,словенский язык
,,סלאָווענער מ = (וו ־ין),,словенец
,,סלוזשבע וו,,служба
,,סלו^זשע׀ן (געסלוזשעט),,1. служить
,,סלוי ¹ מ ־עס,,слой
,,סלוי ² מ ־עס (דימ. סלוייִק),,(стеклянная)
,,סלופּ מ ־עס (דימ. סלופּיק),,столб
,,סליאָטע וו,,1. слякоть
,,"סליד מ ־ן, ־עס",,след (отпечаток;
,,קומ׀ען אויפן סליד,,напасть на след
,,סליחה [סליכע] וו (מצ. סליחות),,1. слиха –
,,בעט׀ן סליחה־ומחילה,,молить о прощении
,,סלימאַק מ ־עס,,"улитка; слизень, слизняк"
,,סלינע וו,,слюна; слюни
,,די סלינע רינט אים פון מויל,,тж. у него
,,סלינע׀ן (געסלינעט),,выделять слюну;
,,סליעפּאַק מ ־עס,,пренебрежительное
,,סם [סאם] מ ־ען,,"яд, отрава"
,,"ס''ם [סאם, סאמעך־מע^ם] מ",,"дьявол, сатана"
,,סמאַהע וו,,слюна; пена (у рта)
,,סמאָ^טרינעס מצ.,,смотрины
,,סמאָטשיק מ ־עס,,соска
,,סמאל [סאמאָעל] אג''נ מ,,"Áамоэль,"
,,סמאַ^לינע וו ־ס,,"гарь; горелое, палёное"
,,סמאַליע׀ן (געסמאַליעט),,"палить, опаливать,"
,,סמאָלע וו ־ס,,смола
,,"סמאַרק, סמאָרק מ ־עס",,"сопля, сопли"
,,סמאַרקאַטע א,,сопливый
,,סמאַרקאַ^טש מ ־עס,,сопляк
,,סמאָרקעכץ ז,,сопли
,,(געסמאָרקעט),,"прочищать нос,"
,,מ ־ן,,смертельный/смертоносный яд
,,סמוטנע א,,"грустный, печальный"
,,סמיאַטקע וו ־ס,,яйцо всмятку
,,"סמיאַלע א, אדוו.",,смелый; смело
,,סמיטשיק מ ־עס (דימ. פון סמיק),,1. смычок
,,מיט אַ סמיטשיק אַריבער,,с небольшим; с
,,"סמיכה [סמיכע] וו, סמיכות [סמיכעס] ז",,право
,,סמיק מ ־עס (דימ. סמיטשיק),,1. смычок
,,נעמ׀ען צום/אויפן סמיק,,"делать выговор,"
,,סמיקע׀ן (געסמיקעט),,пиликать на скрипке
,,סמירנאָ אינט.,,смирно! (команда)
,,סמך ¹ [ס(ע)מא^ך] מ ־ן,,"основа, основание;"
,,אויפן סמך פון,,на основе/основании
,,ניטאָ קיין סמך צו באַקלאָגן זיך,,нет
,,סמעטאַנקע וו,,сливки
,,סמעטניק מ ־עס,,свалка (место);
,,סמעטע וו ־ס,,смета
,,סמע^טענע וו,,1. сметана
,,סמ׀ען [סאמען] (געסמט [געסא^מט]),,"травить,"
,,סמערע׀ן (געסמערעט),,"покорять, смирять"
,,סמראָד מ,,смрад
,,סם־שוועמל [סא^ם־] ז ־עך,,"поганка,"
,,סנאַסט מ ־ן,,1. скелет
,,סנאָפּ מ ־עס,,"1. сноп, пучок"
,,סנאָפּ ליכט,,сноп света/лучей
,,סנאַפּער מ ־עס,,"тот, кто быстро снашивает"
,,סנדקאָות [סאנדעקאָעס] ז,,роль сандака
,,סנהדרין [סאנעדר(י)ן] 1. מ,,синедрион
,,סנהדרין [סאנעדר(י)ן] 2. מצ.,,члены
,,סניגור [סאנייגער] מ ־ס,,1. книжн.
,,סע פּראָנ.,,употребляется вместо
,,סע ברענט,,горит
,,סע שטייט געשריבן,,написано
,,סעאַ^נס מ ־ן,,сеанс
,,סעגמע^נט מ ־ן,,сегмент
,,סעדער ¹ מ ־ס (וו ־קע),,садовод; садовник
,,סעודה [סודע] וו (מצ. סעודות),,"еда, приём"
,,סעודת־מיצווה [סודעס־מי^צווע] וו,,"трапеза,"
,,סעזאָ^ן מ ־ען,,1. сезон
,,סעזאָ^נ..,,сезонный
,,סעטיען [те] מ ־ס,,лепёшка из негустого
,,סעכער מ ־עס,,сухарь
,,סעלוואַס מצ.,,сельва
,,סעליטרע וו,,селитра
,,סעלעקציע וו ־ס,,селекция
,,סעלעריע וו,,сельдерей
,,סעמי^ט מ ־ן,,семит
,,סעמיטיש א,,семитский
,,סעמינאַ^ר מ ־ן,,1. семинар; курсы
,,סע^מעטשקע וו ־ס,,семечко подсолнуха;
,,סעמעסטער מ ־ס,,семестр
,,סעמער מ ־ן,,рыночный прилавок
,,סע^מערניק מ ־עס (וו ..ניצע),,рыночный
,,סענאַ^ט מ ־ן,,сенат
,,סענאַטאָר מ ..אָ^רן (וו ..אָ^רשע),,сенатор
,,סענדאַק מ ־עס,,судак
,,סענדזשע מ ־ס,,диал. судья
,,סענט מ ־ן,,цент
,,סענטימע^נט מ ־ן,,чувство;
,,סענטימענטאַ^ל א,,"сентиментальный,"
,,סעני^ל א,,"старческий, вызванный"
,,סענסאַציאָנע^ל א,,сенсационный;
,,סענסאַציע וו ־ס,,сенсация
,,סענסוע^ל א,,чувственный
,,סענע וו,,лист сенны (слабительное
,,סענץ מ ־ן,,чайный настой; чай
,,סעסיע [сье] וו ־ס,,сессия
,,סעפּטעמבער מ ־ס,,сентябрь
,,סעפּעט מ ־ן,,1. дорожная сумка; чемодан
,,סעקוועסטריר׀ן (סעקוועסטרי^רט),,налагать
,,סעקונדאַ^נט מ ־ן,,секундант
,,סעקונדניק מ ־עס,,секундная стрелка
,,סעקונדע וו ־ס,,секунда
,,סעקונדע^ר א,,вторичный (производный;
,,סעקטאַנטיש א,,сектантский
,,סעקטאָר מ ..אָ^רן,,1. геом. сектор
,,סעקטע וו ־ס,,секта
,,סעקס מ,,секс
,,סעקסוע^ל א,,"сексуальный, половой"
,,סעקציע וו ־ס,,1. секция (подразделение
,,סעקרע^ט מ ־ן,,"1. секрет, тайна"
,,"סעקרעטאַ^ר מ ־ן (וו ־ין, ־שע)",,секретарь
,,סעקרעטאַריאַ^ט מ ־ן,,секретариат
,,סעקרעטנע א,,"1. секретный, тайный"
,,סערדאַק מ ־עס,,1. сюртук
,,סערווי^ז מ ־ן,,сервиз
,,סערוויר׀ן (סערווי^רט),,подавать (на стол);
,,"סערוועט מ, ז ־ן",,скатерть
,,סערוועטקע וו ־ס,,салфетка (небольшая
,,סערום מ ־ס,,сыворотка (крови)
,,סערזשאַ^נט מ ־ן,,сержант
,,סערטיפיקאַ^ט מ ־ן,,"удостоверение,"
,,סעריע וו ־ס,,серия
,,"סערמיאַגע, סערמיאַנקע, סערמיגע, סערמיעגע, סערמ(י)ענגע וו ־ס",,сермяга (род грубого
,,סערענאַדע וו ־ס,,серенада
,,"סערפּ מ ־ן, ־עס",,серп
,,ספּאַד מ ־ן,,"1. спуск, скат, отлогость"
,,ספּאָדיק ¹ מ ־עס,,блюдце
,,ספּאָדיק ² מ ־עס,,род высокой мужской
,,גיי׀ן* אין ספּאָדיק,,главенствовать
,,דריי׀ען (דאט.) אַ ספּאָדיק,,"надоедать,"
,,ספּאָ^דניצע וו ־ס,,нижняя юбка
,,ספּאַזמירן (ספּאַזמי^רט),,1. иметь спазмы/
,,ספּאַזמע וו ־ס,,спазм(а); судорога
,,"ספּאָנטאַ^ן א, אדוו.",,"спонтанный,"
,,ספּאָר מ ־ן,,бот. спора
,,ספּאָראַדיש א,,спорадический
,,ספּאַרזשע וו ־ס,,спаржа
,,ספּאָרט מ ־ן,,спорт
,,מ ־ער,,спортсмен
,,ספּדן [סאפּדן] מ ־ים [סאפּדאָנים],,"тот,"
,,ספּידניאַק [ня] מ ־עס,,"исподник, нижний"
,,ספּילשליווע א,,"вспыльчивый, горячий"
,,ספּינקע וו ־ס,,спинка (стула и т. п.)
,,ספּיראַ^ל מ ־ן,,спираль
,,ספּיראַליש א,,"спиральный; винтовой, витой"
,,ספּירט מ,,спирт
,,ספּירטאָווקע וו ־ס,,спиртовка
,,ספּל(י)עטניע [не] וו ־ס,,сплетня
,,ספּעציאַליטע^ט וו ־ן,,специальность
,,ספּעציאַלי^סט מ ־ן (וו ־קע),,специалист
,,ספּעציע^ל 1. א,,специальный; особый
,,ספּעציע^ל 2. אדוו.,,специально
,,ספּעציפיקאַציע וו ־ס,,спецификация
,,ספּעציפיש א,,"специфический,"
,,ספּעצקליידונג וו,,спецодежда
,,ספּעקולאַטי^וו א,,1. спекулятивный
,,ספּעקולאַ^נט מ ־ן (וו ־קע),,спекулянт
,,ספּעקולאַציע וו ־ס,,1. спекуляция (с целью
,,ספּעקוליר׀ן (ספּעקולי^רט),,спекулировать
,,ספּעקטאַקל מ ־ען,,спектакль
,,ספּעקטער מ ־ס,,спектр
,,ספּעקע וו,,"зной, жара"
,,ספּערמע וו,,сперма
,,ספּראַוונע א,,"умелый, искусный, ловкий;"
,,ספּראַווע וו ־ס,,(судебное) дело
,,ספּראַווקע וו ־ס,,1. справка
,,ספּראָנ(ד)זשקע וו ־ס,,пряжка; застёжка
,,ספּריטנע א,,"резвый, быстрый, ловкий,"
,,ספירה [ספירע] 1. וו,,отсчёт ¾мера –
,,צייל׀ן ספירה,,производить отсчёт ¾мера
,,ספירה [ספירע] 2. וו (מצ. ספירות),,"«сфира»,"
,,ספעריש א,,сферический
,,"ספערע וו (מצ. ־ס, ספערן)",,1. геом. сфера
,,אָן (אַ) ספק,,"без сомнения; несомненно,"
,,זיין* אין ספק (צי),,сомневаться
,,שטעל׀ן אין ספק,,ставить
,,דאָס איז אַ גרויסער ספק,,это вовсе
,,ספק... ספק בינדוו.,,может (быть)...
,,ספקדיק [סאָ^פעקדיק] א,,"сомнительный,"
,,ספרא־רבא [סאפרע־רא^בע] מ ־ס,,искусный
,,ספרדיש [ספארדיש] א,,относящийся
,,ספר־החתום [סייפער־האכאָ^סעם] מ,,книга
,,ספר־פּראַ^(ל)ניק [סייפער־] מ,,шутливое
,,עס שטייט אין ספר־פּראַלניק,,это взято
,,סצירקע וו ־ס,,тряпка (для вытирания
,,סצענאַ^ר מ ־ן,,сценарий
,,סצענע וו ־ס,,сцена
,,סקאָב(ע)ל מ,,скоба
,,סקאַבקע וו ־ס,,заноза
,,סקאוווּטשע׀ן (סקאַוווּטשעט),,скулить
,,סקאָ^ווראָדע וו ־ס,,сковорода
,,סקאַז מ ־ן,,"порок (в металле и т. п.),"
,,סקאַזקע וו ־ס,,"ист. сказка (список лиц,"
,,סקאַלע ¹ וו ־ס,,шкала
,,סקאַלע ² וו ־ס,,"скала, утёс"
,,סקאַלע׀ן (געסקאַלעט),,"колоть, раскалывать;"
,,סקאַלקע וו ־ס,,щепка; лучина
,,סקאַנדאַ^ל מ ־ן,,скандал
,,סקאַנדאַלי^סט מ ־ן (וו ־קע),,"скандалист,"
,,"סקאַנדאַליע^ז א, אדוו.",,"скандальный,"
,,סקאַנדיר׀ן (סקאַנדי^רט),,скандировать
,,סקאָצל קומט אינט.,,добро пожаловать!
,,סקאַרב מ,,"1. скарб, домашние вещи;"
,,סקאַרבאָוו׀ער ניגון [ניגן],,старинный
,,סקאָרבו^ט מ,,"скорбут, цинга"
,,סקאָ^רינקע וו ־ס,,корка (хлеба)
,,סקאַרלאַטי^ן מ,,скарлатина
,,סקאָרפּיאָ^ן מ ־ען,,скорпион
,,גיי׀ן*/טרייב׀ן סקוואָז סטראָי,,проходить/
,,סקווער מ ־ן,,сквер
,,סקווערניאַק [ня] מ ־עס,,"скряга, скупердяй,"
,,סקוטשנע א,,"скучный (наводящий скуку,"
,,עס איז דאט. סקוטשנע (פון),,"скучно кому-л.,"
,,סקולפּטאָר מ ..אָ^רן (וו ..אָ^רשע),,"скульптор,"
,,סקולפּטו^ר וו ־ן,,"1. скульптура, ваяние"
,,סקי מ =,,лыжа
,,סקיבע וו ־ס,,ломоть
,,סקילה [סקילע] וו,,забрасывание камнями
,,סקיציר׀ן (סקיצי^רט),,набрасывать
,,סקיצע וו ־ס,,набросок; эскиз
,,סקירדע וו ־ס,,скирд(а)
,,סקלאַד מ ־ן,,склад (помещение)
,,סקלאַדניק מ ־עס,,владелец склада
,,סקלאַדנע א,,складный
,,"סקל(י)עפּ מ ־ן, ־עס",,1. подвал; погреб
,,סקלעראָ^ז מ,,склероз
,,סקנער(ו^ק) מ ־עס,,"скряга, скупердяй,"
,,"סקעליע^ט, סקעלע^ט מ ־ן",,"1. скелет,"
,,סקעפּטיציזם מ,,скептицизм
,,"סקע^פּטיקער מ =, ־ס (וו ־ין)",,"скептик,"
,,סקעפּטיש א,,скептический
,,סקע^פּטישקייט וו,,"скептичность,"
,,סקעפּטער מ ־ס,,скипетр
,,סקראָפל מ,,золотуха
,,סקרוך מ ־עס,,"дрожь, трепет; мурашки"
,,סקרוכע׀ן (געסקרוכעט) (דאט.),,вызывать
,,סקריטשע׀ן (געסקריטשעט) (מיט),,"скрипеть,"
,,סקריניע [не] וו ־ס (דימ. סקרינקע),,"ящик,"
,,"סקריפּ מ ־ן, ־עס",,скрип
,,סראָדע פּאָסט מ,,середина семинедельного
,,סראָ^וועטקע וו,,сыворотка (молочная)
,,סראַטש מ,,груб. 1. дерьмо
,,סרחה [סראָכע] וו (מצ. סרחות),,"вонь,"
,,[געסארכעט]),,"вонять, смердеть"
,,סרחענער [סא^רכענער] מ =,,неприятно
,,סריס [סאָרעס] מ ־ים [ס(ע)ריסים],,"кастрат,"
,,סתּם [סטאם] 1. א אינוו.,,"простой,"
,,דאָס איז סתּם אַ בוך,,это просто книга
,,ער קויפט ניט סתּם ביכער,,он не покупает
,,סתּם [סטאם] 2. אדוו.,,"просто (так),"
,,איך זאָג עס סתּם אַזוי,,я говорю это просто
,,עבדות [אוודעס] ז,,рабство (состояние)
,,עבודה [אוווידע] וו,,(религиозный) культ;
,,עבודת־הבורא [אוווידעס־האבוי^רע] וו,,евр.
,,עבודת־הקודש [אוווידעס־האקוי^דעש] וו,,евр.
,,עבירה [אוויירע] וו (מצ. עבירות),,1. грех;
,,(עס איז) אַן עבירה דאָס געלט,,это
,,(עס איז) אַן עבירה די צייט,,это напрасная
,,ע^בנהאָלץ ז,,эбеновое/чёрное дерево
,,עבר [אָווער] מ ־ס,,"прошлое, минувшее,"
,,עברי [איוורע] 1. וו,,"иврит, чтение"
,,הי^לצערנ׀ע עברי,,чтение (по-еврейски)
,,עברי [איוורי] 2. מ ־ם,,еврей
,,עברידיק [אי^וורעדיק] א,,умеющий читать
,,עברידיקייט [אי^וורעדיקייט] וו,,умение
,,עבריתּ [איוורי^ט] ז,,(современный) иврит
,,עגאָיִזם מ,,эгоизм
,,עגאָיִ^סט מ ־ן,,эгоист
,,עגאָיִסטיש א,,"эгоистичный, эгоистический,"
,,עגונה [אגונע] וו (מצ. עגונות),,"евр. женщина,"
,,עגיפּטיש א,,египетский
,,עגיפּטן אג''נ ז,,µгипет
,,עגיפּטער מ = (וו ־ין),,египтянин
,,"עגל [אייגל] מ, ז",,библ. золотой телец
,,עגלה [אגאָלע] וו (מצ. עגלות),,1. евр.
,,עגל־הזהב [אייגל־האזאָ^העוו] מ,,золотой
,,עגלה־ערופה [עגלע־ארו^פע] וו,,библ. тёлка
,,עגמת־נפש [אגמעסנעפעש] ז,,"огорчение,"
,,עדה [איידע] וו (מצ. עדות),,1. религиозная
,,עד־היום [אד(ה)ייעם] אדוו.,,до сегодняшнего
,,עדוקאַציע וו,,воспитание
,,עדות ¹ [איידעס] מ =,,свидетель(ница)
,,עדות־זאָגן [איי^דעס־] 2. ז,,"свидетельство,"
,,עדותטע [איי^דעסטע] וו ־ס,,свидетельница
,,זיך) מיט,,призывать/брать кого-л.
,,עד־חרמה [אטכאָרמע] אדוו.,,до полного
,,עדי^קט מ ־ן,,эдикт
,,עד־כּאן [אד־קא^ן] אדוו.,,"до сих пор,"
,,עד־לחיים [אד־לעכא^יִם] אדוו.,,до конца
,,עד־לחשבון [אד־לעכע^זשבם] אדוו.,,в счёт
,,עד־מתי [אד־מאָ^סיי] פראז.,,до какого
,,[אדסאָ^ף־קאָל(ה)אדוי^רעס] אדוו.,,пока будет
,,ע^דער׀ן (געעדערט),,1. вытягивать жилы
,,עד־עתּה [אדאטע] אדוו.,,до настоящего
,,עדת־ישׂראל [אדאס־ייִסראָ^על],,еврейская
,,עהע^ אינט.,,эге!
,,עובדה [אוּוודע] וו (מצ. עובדות),,"1. факт,"
,,וואָס איז די עובדהЯ,,"какая в этом пользаЯ,"
,,עובר [אובער] מ ־ים [אובאָרים],,"эмбрион,"
,,עובר־בטל [אויווערבאָט _ ל] 1. א,,выживший
,,(עובר־שבועה געווע^ן),,нарушать клятву
,,עוואָלוציע וו ־ס,,эволюция
,,עוואַנגעליע וו ־ס,,евангелие
,,עוואַקויִר׀ן (עוואַקויִ^רט),,эвакуировать
,,"עוואקויִרן זיך (פון, קיין)",,эвакуироваться
,,עוון [אָוון] מ (מצ. עוונות [אוווינעס]),,грех
,,עווענטוע^ל א,,возможный
,,עוכר־ישׂראל [אויכער־ייִסראָ^על] מ,,"тот, кто"
,,"עול [אָל] מ, ז ־ן",,"бремя, тяжесть, ноша,"
,,עולה ¹ [אוילע] מ (מצ. עולים [אוילים]),,евр.
,,עולה ² [אוילע] וו (מצ. עולות),,библ.
,,עולה [אוילע] זיין* (עולה געווע^ן),,евр.
,,(עולה־יפה געווע^ן),,"удаваться, выходить"
,,עולה־לגדולה [אוילע־ליגדו^לע] זיין* (עולה־לגדולה געווע^ן),,достигать
,,(עולה־לתּורה געווע^ן),,быть вызванным
,,(עולה־רגל געווע^ן),,ист. совершать
,,עולה־תּמימה [אוילע־טמי^מע] וו,,1. жертва
,,עולם 1. [אוילעם] מ ־ס,,"1. толпа; люди,"
,,"[אוילאָמעס, אוי^לעמעס]",,"мир, свет"
,,ער איז שוין אויפן עולם־האמת,,тж. его
,,עולם־הבא [אוילעם־הא^בע] מ,,1. «будущий
,,"עולם־הזה [אוילעם־הא^זע] מ, וו",,1. этот свет
,,עולם־הזהדיק [אוילעם־הא^זעדיק] א,,земной
,,(וו ..ניצע),,"человек, ищущий наслаждений,"
,,עולם־התּוהו [אוילעם־האטוי^ע] מ,,1. мир
,,עולם־ומלואו [אוילעם־אומלוי^ע] מ,,весь
,,האַלט׀ן אַן עולם־ומלואו פון,,быть очень
,,עולמות [אוי^לעמעס] מצ.,,вклад
,,עולמש [אוילעמש] א,,"1. мирской, светский"
,,עומר [אוימער] מ,,¾мер –
,,עונג [אוינעג] מ,,"удовольствие,"
,,עונש [אוינעש] מ ־ים [אָנאָשים],,"наказание,"
,,אין,,заниматься чем-л.
,,עוף [אָף] ז ־ות [אויפעס],,1. ед. и мн.
,,עוקר [אויקער] זיין (עוקר געווע^ן),,вырывать
,,זיין* (עוקר־מן־השורש געווע^ן),,вырывать
,,עזות [אזעס] ז,,"дерзость, наглость,"
,,"עזותדיק [א^זעסדיק] א, אדוו.",,"дерзкий,"
,,[אזעס־מעכוצעף־פּאָ^נעם] מ,,наглый тип
,,עזותניק [א^זעסניק] מ ־עס (וו ..ניצע),,"наглец,"
,,"עזות־פּנים [אזעס־פּאָ^נעם] מ, ז ־ער [אזעס־פּע^נעמער]",,наглый/дерзкий
,,עזותקייט [א^זעסקייט] וו ־ן,,"1. нахальство,"
