unique	NE
קאלומבוס	LOC
קאלוף	LOC
קאלוש	LOC
קאַלוש	LOC
קאַלוש	LOC
קאלושא	LOC
קאלושין	LOC
קאַלושין	LOC
קאַלװאַריע	LOC
קאַלװאַריִע 	LOC
קאלטא	LOC
קאָלטאַ	LOC
קאלטאה	LOC
קאָלטאָװ	LOC
קאלטהא	LOC
קאָלטוניאַן 	LOC
קאלטיניאן	LOC
קאָלטיניאַן	LOC
קאלטעניאן	LOC
קאָלטעניאַן	LOC
קאָלטעניאַן 	LOC
קאלטשין	LOC
קאָלטשין	LOC
קאָלטשין 	LOC
קאָלטשמעזע	LOC
קאליב	LOC
קאליבאעל	LOC
קאליביעל	LOC
קאליביץ	LOC
קאליבעל	LOC
קאַליבעלאָט 	LOC
קאלידע	LOC
קאליטשאבע	LOC
קאַליך	LOC
קאלימיא	LOC
קאלימיי	LOC
קאלימייא	LOC
קאלימייע	LOC
קאלין	LOC
קאַלין 	LOC
קאָלין	LOC
קאַלינאָװע	LOC
קאַלינאָװקע 	LOC
קאלין במדינת בעהמין	LOC
קאלינדין	LOC
קאליניע	LOC
קאלינעשט	LOC
קאַלינעשט	LOC
קאלינקאוויטש	LOC
קאַלינקאָװיטש	LOC
קאַלינקע	LOC
קאַלינשאָװאַ הארב	LOC
קאלינשט	LOC
קאליס	LOC
קאַליס	LOC
קאליף	LOC
קאליפארניא	LOC
קאליפארניע	LOC
קאליציץ	LOC
קאליקעס	LOC
קאליר	LOC
קאליראש	LOC
קאליש	LOC
קאַליש	LOC
קאַליש	LOC
קאָליש	LOC
קאָליש 	LOC
קאלישין	LOC
קאלישיץ	LOC
קאָלישיץ	LOC
קאַלישעק 	LOC
קאַלישק 	LOC
קאללא	LOC
קאללין	LOC
קאללעשיטץ	LOC
קאלמאזו	LOC
קאלמאר	LOC
קאָלמאַר	LOC
קאלמאש	LOC
קאלמיי	LOC
קאלמייא	LOC
קאלמייע	LOC
קאלן	LOC
קאלנא	LOC
קאלנאָװיץ	LOC
קאלניק	LOC
קאַלניק	LOC
קאַלניק 	LOC
קאלנע	LOC
קאַלנע	LOC
קאָלנע	LOC
קאָלנע 	LOC
קאלסרוא	LOC
קאלע	LOC
קאַלע	LOC
קאלעב	LOC
קאלעביאל	LOC
קאלעביעל	LOC
קאָלעביעל 	LOC
קאלעדע	LOC
קאלעוו	LOC
קאַלעװ	LOC
קאָלעזיאַן 	LOC
קאלעטן	LOC
קאַלעטן	LOC
קאלעלישאק	LOC
קאַלעלישאָק	LOC
קאַלעלישאָק 	LOC
קאלעמיא	LOC
קאַלעמײ	LOC
קאלענוי	LOC
קאלעניווקע	LOC
קאַלעניװקע	LOC
קאלענעווקע	LOC
קאַלענעװקע 	LOC
קאלענקעוויטש	LOC
קאַלענקעװיטש	LOC
קאלעף	LOC
קאַלעף	LOC
קאלעש	LOC
קאַלעש	LOC
קאלעשין	LOC
קאַלעשין	LOC
קאלצערי	LOC
קאָלצערי	LOC
קאלק	LOC
קאָלק 	LOC
קאלשין	LOC
קאמאדי	LOC
קאָמאַדי	LOC
קאמאדע	LOC
קאמאהרן	LOC
קאמאטי	LOC
קאמאטע	LOC
קאמאטשע	LOC
קאָמאָטשע	LOC
קאמאי	LOC
קאמאנקע	LOC
קאמארא	LOC
קאָמאָראָ	LOC
קאמאראב	LOC
קאמאראוו	LOC
קאמאראוויטץ	LOC
קאמאראווע	LOC
קאמאראווקע	LOC
קאָמאַראָװ	LOC
קאָמאַראָװיץ	LOC
קאָמאַראָװקע	LOC
קאמאראם	LOC
קאָמאַראָם	LOC
קאמאראמסעמערע	LOC
קאָמאַראָמסעמערע	LOC
קאמאראן	LOC
קאמאראס	LOC
קאַמאַראַס	LOC
קאמאראץ	LOC
קאָמאָראָץ	LOC
קאמאראש	LOC
קאַמאַראַש	LOC
קאמארוץ	LOC
קאמארזאן	LOC
קאָמאָרזאַן	LOC
קאמאריווקע	LOC
קאמארין	LOC
קאָמאַרין 	LOC
קאמארן	LOC
קאָמאָרן	LOC
קאמארנא	LOC
קאמארניא	LOC
קאמארניק	LOC
קאָמאַרניק	LOC
קאמארניקי	LOC
קאמארנע	LOC
קאָמאַרנע	LOC
קאָמאַרעװיץ 	LOC
קאמבארנע	LOC
קאָמבאָרנע	LOC
קאמבערנע	LOC
קאמהרן	LOC
קאמוניץ	LOC
קאמיאט	LOC
קאָמיאַט	LOC
קאמיאנקא סטר.	LOC
קאמיאנקע	LOC
קאַמיאָנקע	LOC
קאמיאק	LOC
קאמיונקה	LOC
קאמיונקי	LOC
קאמיטשע	LOC
קאמיי	LOC
קאמיין	LOC
קאמיינסק	LOC
קאמיינציק	LOC
קאמיין קשירסקי	LOC
קאמילטא	LOC
קאַמיליאַנקע 	LOC
קאמין	LOC
קאַמין	LOC
קאמינטעלקע	LOC
קאמיניאק	LOC
קאמיניטץ	LOC
קאמיניץ	LOC
קאמינסק	LOC
קאַמינסק	LOC
קאמינעץ	LOC
קאמינעשט	LOC
קאַמינעשט	LOC
קאמינצק	LOC
קאמינקא	LOC
קאַמינקאַ	LOC
קאמינקא סטר.	LOC
קאמינקא סטרומילאווא	LOC
קאמינקי	LOC
קאמינקע	LOC
קאַמינקע	LOC
קאַמינקע 	LOC
קאָמינקע 	LOC
קאמיען	LOC
קאַמיען	LOC
קאַמיען־קאָשירסק	LOC
קאַמיענאַיאַ 	LOC
קאמיענטשיק	LOC
קאַמיענטשיק 	LOC
קאמיעןקאשירסק	LOC
קאמיען קאשירסק	LOC
קאמיץ	LOC
קאַמיץ	LOC
קאמיק	LOC
קאַמיק 	LOC
קאמירוב	LOC
קאָמישנע 	LOC
קאמישעװאָכע	LOC
קאַמײַ 	LOC
קאמל	LOC
קאמלאש	LOC
קאָמלאָש	LOC
קאמלאשקערעסטעש	LOC
קאָמלאָשקערעסטעש	LOC
קאמלויש	LOC
קאמלעש	LOC
קאָמלעש 	LOC
קאמניץ	LOC
קאַמסקאָיע	LOC
קאמען	LOC
קאַמען 	LOC
קאמענבראד	LOC
קאַמענבראָד 	LOC
קאמעניץ	LOC
קאַמעניץ	LOC
קאָמעניץ	LOC
קאַמעניץ־ליטאָװסק 	LOC
קאמעניצא	LOC
קאמענסק	LOC
קאַמענסק 	LOC
קאמענעץ	LOC
קאַמענעץ	LOC
קאַמענעץ־ליטאָװסק	LOC
קאַמענעץ־פּאָדאָלסק	LOC
קאמענעץ ליטאווסק	LOC
קאמענעץ פאדאלסק	LOC
קאמענקע	LOC
קאַמענקע 	LOC
קאמער	LOC
קאַמעראָװ 	LOC
קאמערווא	LOC
קאַמערױקע 	LOC
קאמערעוו	LOC
קאָמערעװ 	LOC
קאמעשניץ	LOC
קאַמעשניץ	LOC
קאמפאלט	LOC
קאָמפּאָלט	LOC
קאמפאני	LOC
קאַמפּאַני	LOC
קאמפולונג	LOC
קאַמפּולונג	LOC
קאמפולונג לא טיסא	LOC
קאַמפּולונג לאַ טיסא	LOC
קאָמפּין 	LOC
קאַמפּינאָס 	LOC
קאמפעלונג	LOC
קאָמפּעלונג	LOC
קאמראן	LOC
קאמרזאן	LOC
קאמרין	LOC
קאמרן	LOC
קאמרנא	LOC
קאמרניק	LOC
קאמרניק עליון	LOC
קאָמרעװע 	LOC
קאנ.	LOC
קאנאגוטא	LOC
קאן אגוטא	LOC
קאנאדא	LOC
קאנאדע	LOC
קאנאטאפ	LOC
קאָנאָטאָפּ	LOC
קאָנאָטאָפּ 	LOC
קאַנאָטקעװיץ 	LOC
קאַנאַלי 	LOC
קאָנאָפּיצע 	LOC
קאָנאַרי	LOC
קאנדא	LOC
קאנדווע	LOC
קאנדויא	LOC
קאַנדױ 	LOC
קאנדעווע	LOC
קאַנדעװע	LOC
קאנדרינע	LOC
קאנה	LOC
קאנהעניטש	LOC
קאנוי	LOC
קאַנטאַקאָזאָװ	LOC
קאנטאקוזאווקא	LOC
קאנטי	LOC
קאנטיס	LOC
קאַנטעקוזיװ 	LOC
קאנטש	LOC
קאנטשוגא	LOC
קאנטשוגע	LOC
קאַנטשוגע	LOC
קאנטשיג	LOC
קאנטשיגא	LOC
קאנטשיגע	LOC
קאנטשיק	LOC
קאַנטשיק 	LOC
קאנטשיקא	LOC
קאנטשיקע	LOC
קאני	LOC
קאני'	LOC
קאניא	LOC
קאַניא	LOC
קאניאהאז	LOC
קאַניאָהאַז	LOC
קאני איילאנד	LOC
קאניאץ	LOC
קאניגס בערג	LOC
קאניזא	LOC
קאניזע	LOC
קאניזשע	LOC
קאַניזשע	LOC
קאַניזשע 	LOC
קאַניטש 	LOC
קאנין	LOC
קאָנין	LOC
קאניסאװקע	LOC
קאניע	LOC
קאַניעװ 	LOC
קאָניעװ 	LOC
קאָניעך 	LOC
קאניעצפאל	LOC
קאָניעצפּאָל	LOC
קאניץ	LOC
קאַניץ	LOC
קאָניץ	LOC
קאָניצפּאָליע 	LOC
קאנישא	LOC
קאנישיק	LOC
קאנישע	LOC
קאננ.	LOC
קאנסטאנטין	LOC
קאָנסטאַנטין	LOC
קאנסטאנטינאווקע	LOC
קאָנסטאַנטינאָװקע	LOC
קאָנסטאַנטינאָװקע 	LOC
קאנסטאנטינאפאל	LOC
קאָנסטאַנטינאָפּאָל	LOC
קאנסטאנטינאפל	LOC
קאנסטאנטינע	LOC
קאָנסטאַנטינע	LOC
קאנסטאנטינעוו	LOC
קאָנסטאַנטינעװ 	LOC
קאנסטאנץ	LOC
קאָנסטאַנץ	LOC
קאָנסטאַנץ 	LOC
קאנסטאנצא	LOC
קאנסקאוואלע	LOC
קאנסקיוואלע	LOC
קאָנסקע־װאָלע	LOC
קאנסקע-וואלע	LOC
קאנע	LOC
קאנעוו	LOC
קאַנעװ	LOC
קאַנעל	LOC
קאַנעלע	LOC
קאנצ'וגה	LOC
קאנצאווע	LOC
קאסאבע	LOC
קאסאדאר	LOC
קאסאוו	LOC
קאסאוויץ	LOC
קאסאוולאצקי	LOC
קאסאוו לאצקי	LOC
קאסאווע	LOC
קאָסאָװ־לאַצקע	LOC
קאָסאָװיץ	LOC
קאָסאָװסקע פאָליענע 	LOC
קאסאן	LOC
קאָסאָן 	LOC
קאסאני	LOC
קאָסאָני	LOC
קאסאניא	LOC
קאסוב	LOC
קאסובע	LOC
קאסווע	LOC
קאסטאטין	LOC
קאסטאלאן	LOC
קאסטאנטין	LOC
קאסטהעל	LOC
קאסטונע	LOC
קאסטוקאוויטש	LOC
קאסטוקאוויץ	LOC
קאסטיווהארע	LOC
קאסטיווע פאסטיל	LOC
קאסטילאן	LOC
קאסטין	LOC
קאָסטין	LOC
קאָסטיניץ 	LOC
קאָסטיקאָװיטש 	LOC
קאסטל	LOC
קאָסטל	LOC
קאסטלאן	LOC
קאָסטנטאַל 	LOC
קאסטעוועהארע	LOC
קאַסטעװעהאָרע	LOC
קאסטעל	LOC
קאסטעלאן	LOC
קאָסטעלאַן	LOC
קאסטעלאני	LOC
קאָסטעלאַני	LOC
קאָסטעלי	LOC
קאסטעליץ	LOC
קאָסטעליץ	LOC
קאסטען	LOC
קאָסטען	LOC
קאָסטעפּאָל 	LOC
קאסטראװע	LOC
קאסטראמע	LOC
קאָסטראָמע	LOC
קאסטרין	LOC
קאָסטרין	LOC
קאסי	LOC
קאסיאנא	LOC
קאסיב	LOC
קאסיווע	LOC
קאסיל	LOC
קאסין	LOC
קאַסין	LOC
קאסל	LOC
קאַסל	LOC
קאסמיטשי	LOC
קאָסנטין 	LOC
קאסניטין	LOC
קאָסניטין 	LOC
קאסניטין חדש	LOC
קאססעל	LOC
קאסעב	LOC
קאסעוו	LOC
קאסעוויץ	LOC
קאסעווע	LOC
קאָסעװ	LOC
קאָסעװ 	LOC
קאָסעװניצע	LOC
קאָסעװע	LOC
קאָסעװע 	LOC
קאסעל	LOC
קאסען	LOC
קאסערען	LOC
קאפאוואר	LOC
קאָפּאָװאַר	LOC
קאפאטקעוויטש	LOC
קאָפּאַטקעװיטש	LOC
קאָפּאטשאױפאַטאָ	LOC
קאפאיע	LOC
קאפאלנאקמאנאשטאר	LOC
קאַפּאָלנאָקמאָנאָשטאָר	LOC
קאפאלניק מאנאשטאר	LOC
קאפאלנע	LOC
קאַפּאָלנע	LOC
קאַפּאַני	LOC
קאפּאניע	LOC
קאָפּאַניע	LOC
קאָפּאַנקע 	LOC
קאפאספיד	LOC
קאפאר	LOC
קאפאריד	LOC
קאָפּאָש	LOC
קאפאשאן	LOC
קאפאש גדול	LOC
קאפאשוואר	LOC
קאָפּאָשװאַר	LOC
קאפּאשניװ	LOC
קאָפּאַשניװ	LOC
קאפאשניע	LOC
קאָפּאַשניע	LOC
קאפאשנע	LOC
קאפובאר	LOC
קאפולי	LOC
קאפוליע	LOC
קאַפּוליע	LOC
קאַפּוליע 	LOC
קאפולנא	LOC
קאפולע	LOC
קאפוסט	LOC
קאָפּוסט	LOC
קאפוש	LOC
קאָפּוש	LOC
קאפושאן	LOC
קאַפּושאַן	LOC
קאַפּושאַן 	LOC
קאפושאני	LOC
קאפוש גדול	LOC
קאַפּטער 	LOC
קאָפּטשיס	LOC
קאפטשעווע	LOC
קאָפּטשעווע	LOC
קאָפּטשעװע	LOC
קאָפּטשעװע 	LOC
קאָפּי	LOC
קאפיטקעוויטש	LOC
קאַפּיטקעװיטש 	LOC
קאפיטשוניץ	LOC
קאפיטשיניץ	LOC
קאָפּיטשיניץ	LOC
קאפיטשינצי	LOC
קאפיטשעניטץ	LOC
קאפייגאראד ?	LOC
קאָפּילאָװקע 	LOC
קאפין האגון	LOC
קאפין האגין	LOC
קאפּינישץ	LOC
קאפינק	LOC
קאפיס	LOC
קאָפּיס	LOC
קאָפּיסט 	LOC
קאַפּיסטיאַן 	LOC
קאפיש	LOC
קאַפּיש 	LOC
קאָפּיש	LOC
קאפישאוו	LOC
קאַפּישאָװ	LOC
קאפישאן	LOC
קאפיש גדול	LOC
קאפישניץ	LOC
קאפישעף	LOC
קאַפּלאַנצע 	LOC
קאפנבריגע	LOC
קאָפּנבריגע	LOC
קאפנהאגין	LOC
קאפנהאגן	LOC
קאפניק	LOC
קאפניקבאניע	LOC
קאָפּניקבאַניע	LOC
קאַפּנע	LOC
קאַפּעװאַר 	LOC
קאפענהאגן	LOC
קאָפּענהאַגן	LOC
קאפענהאגען	LOC
קאפּעסנע	LOC
קאפעש	LOC
קאפצאווא	LOC
קאפציווע	LOC
קאפּציװאליע	LOC
קאפציעווע	LOC
קאפצעווא	LOC
קאפצעווע	LOC
קאָפּצעװיטש 	LOC
קאפקיר	LOC
קאפרעשט	LOC
קאַפּרעשט 	LOC
קאפרעשטש	LOC
קאפשטאט	LOC
קאפשען	LOC
קאצאניװ	LOC
קאָצודע 	LOC
קאצװין	LOC
קאַצינעס	LOC
קאצעס	LOC
קאצק	LOC
קאָצק	LOC
קאָצק 	LOC
קאצקא	LOC
קאצקאָ	LOC
קאצקוי	LOC
קאַצקעװ 	LOC
קאַק	LOC
קאָקאָװאָ	LOC
קאקאשפאלווא	LOC
קאקױצע	LOC
קאקעלבורג	LOC
קאָקעלבורג	LOC
קאקשעמינדסענט	LOC
קארא	LOC
קאראד	LOC
קאָראַד	LOC
קאָראָד	LOC
קאראהיע	LOC
קאָראָװיניץ 	LOC
קאראטין	LOC
קאראטשאנד	LOC
קאָראַטשאָנד	LOC
קאראטשאנפאלווא	LOC
קאראָטשאָנפאָלװאָ	LOC
קאראטשין	LOC
קאראייובה	LOC
קאַראָל	LOC
קאראלי	LOC
קאראליווקע	LOC
קאָראָליװקע	LOC
קאַראָלין 	LOC
קאראליפקא	LOC
קאראלע	LOC
קאָראָם	LOC
קאראמפא	LOC
קאראמפאך	LOC
קאראנא	LOC
קאראנד	LOC
קאראנטשקעסי	LOC
קאָראָנטשקעסי	LOC
קאראס	LOC
קאַראַס	LOC
קאראס?	LOC
קאראסוב	LOC
קאראסובאזאר	LOC
קאַראַסובאַזאַר	LOC
קאָראָסטין	LOC
קאראסטישעב	LOC
קאָראָסטישעװ	LOC
קאָראָסטעװ 	LOC
קאראסלױ	LOC
קאראפאליס	LOC
קאַראַפּטשיו 	LOC
קאָראָפּקע	LOC
קאראש	LOC
קאראָש	LOC
קאראַשקעני	LOC
קאַרב	LOC
קארבאך	LOC
קאָרבאַך	LOC
קארבינאל	LOC
קארגע	LOC
קאַרגע	LOC
קארדיף	LOC
קאַרדיף	LOC
קארופּטשעװ	LOC
קארוקאווקא	LOC
קאַרװיסאר	LOC
קאַרטוז־בערעזע	LOC
קארטוזבע ריאזיא	LOC
קארטוזבערעזע	LOC
קארטוז בערעזע	LOC
קארטויש	LOC
קארטיאש	LOC
קארטניצע	LOC
קאָרטניצע	LOC
קארטעוויאן	LOC
קארטעקעז	LOC
קארטערעד	LOC
קארטערעט	LOC
קארטשא	LOC
קאָרטשאָ	LOC
קארטשין	LOC
קאָרטשין	LOC
קאָרטשין 	LOC
קארטשינא	LOC
קארטשעוו	LOC
קארטשעווע	LOC
קאָרטשעװ	LOC
קאַרטשעװע	LOC
קאָרטשעװקע 	LOC
קאריביטשעװ	LOC
קאריוו	LOC
קאָריװ און מאַרקושעװ	LOC
קאריט	LOC
קאריטש	LOC
קאריטשאן	LOC
קאָריטשאַן	LOC
קאָריטשין	LOC
קארייי מארע	LOC
קארילופקא	LOC
קאריליפקא	LOC
קאריליפקי	LOC
קאריליפקע	LOC
קארילפקא	LOC
קאריסטישוב	LOC
קאריץ	LOC
קאָריץ 	LOC
קאָריציקעס	LOC
קאַרײ־מאַרע	LOC
קארײסעמאַרטאָן	LOC
קארלבורג	LOC
קארליטען	LOC
קארלין	LOC
קאַרלין	LOC
קאַרלין 	LOC
קאַרלין־פּינסק	LOC
קארלין-פינסק	LOC
קארליפקא	LOC
קארליפקע	LOC
קארליק	LOC
קאַרליק 	LOC
קארליקאוו	LOC
קאַרליקאָװ	LOC
קארלסבאד	LOC
קארלסבורג	LOC
קאַרלסבורג	LOC
קאַרלסבורג 	LOC
קארלסדארף	LOC
קאַרלסדאָרף	LOC
קארלסרו	LOC
קאַרלסרו	LOC
קארלסרוא	LOC
קארלסרוה	LOC
קארלסרוהע	LOC
קארלסרויא	LOC
קאַרלעװיץ	LOC
קארלקאב	LOC
קארלשטאט	LOC
קאַרלשטאַט	LOC
קאַרלשטײן	LOC
קארמא	LOC
קארמאטש	LOC
קאָרמאָטש	LOC
קארמניולה	LOC
קאָרמע 	LOC
קארנאווע	LOC
קאַרנאַווע	LOC
קארנוואל ברידזש	LOC
קארניאלא	LOC
קאַרניאלא	LOC
קארנין	LOC
קאָרנין 	LOC
קארניק	LOC
קאָרניק	LOC
קארנעגי	LOC
קאַרנעװע	LOC
קארנשטאט	LOC
קארסון	LOC
קאָרסון	LOC
קארסין	LOC
קאַרסלבאַד	LOC
קארסן	LOC
קאָרסן 	LOC
קאָרעדזשיאָ	LOC
קארעדזשיו	LOC
קארעוו	LOC
קאָרעװ 	LOC
קאַרעװע 	LOC
קאָרעטשין 	LOC
קארעי	LOC
קארעליווקע	LOC
קאָרעליװקע 	LOC
קארעליטש	LOC
קאַרעליטש	LOC
קארעליץ	LOC
קאַרעליץ	LOC
קארען ?	LOC
קאַרעניץ 	LOC
קאָרענעװע	LOC
קארעס	LOC
קארעץ	LOC
קאָרעץ	LOC
קאָרע‏ץ	LOC
קאַרעשטאַפּאָװקאַ 	LOC
קארפּאדיע	LOC
קארפאוויץ	LOC
קאַרפּאָװיץ	LOC
קאַרפּאַטן	LOC
קאַרפּאַטן־לאַנד 	LOC
קארפו	LOC
קארפּיװניק	LOC
קאַרפּיװעץ 	LOC
קאַרפּילאָוקע 	LOC
קארפינען	LOC
קארפינען 	LOC
קארפליקא	LOC
קארץ	LOC
קארצאג	LOC
קאָרצאָג	LOC
קארצאן	LOC
קארצוג	LOC
קארציג	LOC
קארציקעס	LOC
קארק	LOC
קארקלאן	LOC
קאַרקלאַן	LOC
קאַרקלאַן 	LOC
קארשי	LOC
קארשין	LOC
קארשיק	LOC
קארשעוו	LOC
קאָרשעװ	LOC
קאָרשעװ 	LOC
קאַשאָ	LOC
קאשאדארע	LOC
קאשאו	LOC
קאָשאָװיץ	LOC
קאשאלי	LOC
קאשאני	LOC
קאשאקאָװקע	LOC
קאשאראוווצע	LOC
קאָשאַראָװצע	LOC
קאשודאר	LOC
קאשוי	LOC
קאשויא	LOC
קאַשװע	LOC
קאשװער	LOC
קאַשױ	LOC
קאשטוריאה	LOC
קאַשטיקאָװיץ	LOC
קאשטעווי	LOC
קאשטעווע	LOC
קאָשטעװע	LOC
קאַשטשאָק 	LOC
קאָשטשעלנע	LOC
קאשיװאן	LOC
קאשיװע	LOC
קאָשין 	LOC
קאשיץ	LOC
קאַשיץ	LOC
קאָשיץ 	LOC
קאשיץ ?	LOC
קאשיצע	LOC
קאָשיצע	LOC
קאשלינאוויץ	LOC
קאשלינאָװיץ	LOC
קאשמין	LOC
קאָשמין	LOC
קאָשמיץ	LOC
קאָשנע	LOC
קאָשנע 	LOC
קאשעדאר	LOC
קאָשעדאַר	LOC
קאָשעדאַר	LOC
קאָשעדאַר 	LOC
קאשעוואטע	LOC
קאָשעװאַטע 	LOC
קאשעלי	LOC
קאָשעלי	LOC
קאָשעליעװ 	LOC
קאָשעניצע 	LOC
קאַשפּעריװקע 	LOC
קאשפריװץ	LOC
קאַשפּרעװיץ 	LOC
קאָשקיל 	LOC
קאָשקעליץ 	LOC
קאששא	LOC
"קב""ד"	LOC
קדאַניװ	LOC
קדימה	LOC
"קה""ב"	LOC
קהיר	LOC
"קו""ד"	LOC
"קו""ו"	LOC
קובא	LOC
קובאל	LOC
קובאלה פאנסקיה	LOC
קובאסאװע	LOC
קובורק	LOC
קובילין	LOC
קובין	LOC
קובינע	LOC
קובליטש 	LOC
קובלינץ	LOC
קובלינצא	LOC
קובלינש	LOC
קובלנץ	LOC
קובלסדארף	LOC
קובנא	LOC
קובנה	LOC
קובענע	LOC
קודן	LOC
קודריניטץ	LOC
קודריניץ	LOC
קוהיל	LOC
קוהל	LOC
קוהננאגוטא	LOC
"קוו""ד"	LOC
קוואגראש	LOC
קוואהיל	LOC
קוואהל	LOC
קוואוויץ	LOC
קוואלה	LOC
קוואסי	LOC
קוואסניי	LOC
קוואצאלי	LOC
קוואצנהיים	LOC
קוואקאוויטץ	LOC
קוואקאוויץ	LOC
קוואקויץ	LOC
קוויוו	LOC
קווינסי	LOC
קוויף	LOC
קוועדלינבורג	LOC
קוועטקי	LOC
קוועשד קטן	LOC
קוז'אלוב	LOC
קוז'אנגרודק	LOC
קוז'מינק	LOC
קוז'נהרודוק	LOC
קוזובה	LOC
קוזין	LOC
קוזמא	LOC
קוזמאַרק 	LOC
קוזמין	LOC
קוזמין 	LOC
קוזמינעהרעבלע 	LOC
קוזמיץ	LOC
קוזמיר	LOC
קוזמיר 	LOC
קוזמיר דלובלין	LOC
קוזניץ	LOC
קוזניצע	LOC
קוזשניץ	LOC
קוזשניצא	LOC
קוט	LOC
קוטאאיס	LOC
קוטאַאיס	LOC
קוטב	LOC
קוטיפאלווא	LOC
קוטיפאָלװאָ	LOC
קוטם	LOC
קוטנא	LOC
קוטנע	LOC
קוטן פלוין	LOC
קוטנפלן	LOC
קוטענפלאן	LOC
קוטענפּלאַן	LOC
קוטעשצינע	LOC
קוטצמאן	LOC
קוטצמאנן	LOC
קוטשבאָרג	LOC
קוידענאוו	LOC
קויטאי	LOC
קויל	LOC
קוכאַרי 	LOC
קול	LOC
קול 	LOC
קולאצ'יצה	LOC
קולאקי	LOC
קולבאשא	LOC
קולביל	LOC
קולודנה	LOC
קולוניא	LOC
קולוניאה	LOC
קולוניה	LOC
קולוניה איזאקה	LOC
קולונייא	LOC
קולטשין	LOC
קולינייא	LOC
קוליקאוו	LOC
קוליקוב	LOC
קולנה	LOC
קולעלישאק	LOC
קולעשע	LOC
קולפּאַרקיװ 	LOC
קולצ'ין	LOC
קולקב	LOC
קולקוב	LOC
קולקי	LOC
קומאדי	LOC
קומאהרן	LOC
קומארוב	LOC
קומארובקה פודלאסקה	LOC
קומארנו	LOC
קומבערלאנד	LOC
קומורג'ינה	LOC
קומיוגינה	LOC
קומלאש	LOC
קומלאשקא	LOC
קומלויש	LOC
קומפאלונג	LOC
קומפלינג	LOC
קומפערלינג	LOC
קונאגאטא	LOC
קונאַגאָטאַ	LOC
קונאגוטא	LOC
קונדיא	LOC
קונהעדיעש	LOC
קונוב	LOC
קונטאָפּלאצא	LOC
קונטשוגא	LOC
קוני איילאנד	LOC
קוניב	LOC
קוניו	LOC
קוניטץ	LOC
קונייצפול	LOC
קונין	LOC
קוניץ	LOC
קונמאדאראש	LOC
קונמאָדאָראָש	LOC
קונמיישע	LOC
קונמישע	LOC
קונמײַשע	LOC
קונסטאנטינוב	LOC
קונסטאנצע	LOC
קונסטנטינא	LOC
קונסטנטינוב לודז'ק	LOC
קונסטנטינופול	LOC
קונסענטמארטאן	LOC
קונסענטמאַרטאָן	LOC
קונסענטמיקלאש	LOC
קונסענטמיקלאָש	LOC
קונסענטמיקלאָש 	LOC
קונסקובולה	LOC
קונע	LOC
קונעא	LOC
קונעאָ	LOC
קונפעלעדיהאז	LOC
קונפעלעדיהאַז	LOC
קונצק	LOC
קונשטאנדינא	LOC
קונשטאנטינא	LOC
קונשטנץ	LOC
קוסאוה	LOC
קוסדינא	LOC
קוסוב	LOC
קוסובפולסקי	LOC
קוסטאנטינא	LOC
קוסטופול	LOC
קוסטילע	LOC
קוסטנטינא	LOC
קוסטנטינה	LOC
קוסקונזוק	LOC
קופּא	LOC
קופאצ'ובקה	LOC
קופּיאן	LOC
קופּיאַנסק 	LOC
קופיל	LOC
קופין	LOC
קופּין	LOC
קופינהאגין	LOC
קופיסק	LOC
קופיצ'וב	LOC
קופיצ'ינצה	LOC
קופישאק	LOC
קופּישאָק	LOC
קופּישאָק 	LOC
קופלינש	LOC
קופעל	LOC
קופּעל	LOC
קופענהאגען	LOC
קופעשיק	LOC
קוצי	LOC
קוצינה	LOC
קוצמאן	LOC
קוצמן	LOC
קוצמנטינא	LOC
קוצע	LOC
קוצק	LOC
קוקטישאָק 	LOC
קוקליץ	LOC
קוקנד	LOC
קוקעלבורג	LOC
קוקעריקע 	LOC
קוראַב 	LOC
קוראזווענקע	LOC
קוראָזװענקע 	LOC
קוראלי	LOC
קורביל	LOC
קורוזואנקי	LOC
קורולובקה	LOC
קורט	LOC
קורטיקעג	LOC
קורטיקעס	LOC
קורטעוויאן	LOC
קורטעװיאַן	LOC
קורטעװיאַן 	LOC
קורטשין	LOC
קורטשעװ	LOC
קוריגייו	LOC
קוריגײו	LOC
קוריטיאן	LOC
קוריטיאַן	LOC
קורילובקה	LOC
קורימא	LOC
קוריצין	LOC
קוריש	LOC
קורמא	LOC
קורמענד	LOC
קורניץ	LOC
קורניץ 	LOC
קורניק	LOC
קורסאן	LOC
קורסאק	LOC
קורסאַק	LOC
קורסעי	LOC
קורסק	LOC
קורען	LOC
קורעניץ	LOC
קורעניץ 	LOC
קורעש גדול	LOC
קורפו	LOC
קורקלע	LOC
קורקלע 	LOC
קורקעװיץ	LOC
קורשאן	LOC
קורשאַן	LOC
קורשאַן 	LOC
קושטא	LOC
קושטא'	LOC
קושטאנדינה	LOC
קושטנדינה	LOC
קושטנטינא	LOC
קושטנטינה	LOC
קושין	LOC
קושמע	LOC
קושניצא	LOC
קושעלישאָק	LOC
קושץ	LOC
קוש שארמאש	LOC
קװאבראן	LOC
קװאַטקיא	LOC
קװאָל 	LOC
קװאסי	LOC
קװאַסי 	LOC
קװאַסיװ	LOC
קװאַסעװ 	LOC
קװאַצאַלי	LOC
קװאַצנהײם	LOC
קװאַקױץ	LOC
קװיװ 	LOC
קװעדלינבורג	LOC
קװעטקי 	LOC
קױדענאָװ	LOC
